"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2023","160","PM2.5","WEST PHOENIX","04-013-0019","AQS","8","43","60","160","27"
"01/02/2023","37","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","37","14","35","31"
"01/03/2023","41","PM2.5","JLG SUPERSITE","04-013-9997","AQS","7","38","26","41","35"
"01/04/2023","55","PM2.5","JLG SUPERSITE","04-013-9997","AQS","9","37","34","55","36"
"01/05/2023","57","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","38","42","57","44"
"01/06/2023","80","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","39","61","80","64"
"01/07/2023","97","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","19","42","51","97","51"
"01/08/2023","105","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","24","43","46","105","47"
"01/09/2023","83","PM2.5","WEST PHOENIX","04-013-0019","AQS","20","43","56","83","55"
"01/10/2023","67","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","13","42","58","67","54"
"01/11/2023","58","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","10","38","48","58","56"
"01/12/2023","71","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","14","43","61","71","56"
"01/13/2023","75","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","13","42","70","75","65"
"01/14/2023","93","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","40","63","93","60"
"01/15/2023","61","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","36","20","61","34"
"01/16/2023","37","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","37","9","28","31"
"01/17/2023","41","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS","3","41","18","22","29"
"01/18/2023","84","PM2.5","WEST PHOENIX","04-013-0019","AQS","7","38","37","84","44"
"01/19/2023","67","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","38","44","67","50"
"01/20/2023","49","PM2.5","WEST PHOENIX","04-013-0019","AQS","11","38","31","49","31"
"01/21/2023","65","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","36","28","65","35"
"01/22/2023","80","PM2.5","WEST PHOENIX","04-013-0019","AQS","19","39","31","80","32"
"01/23/2023","42","Ozone","Lehi Air Monitoring Station","04-013-7022","AQS","5","42","27","38","30"
"01/24/2023","57","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","9","38","40","57","38"
"01/25/2023","73","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","11","41","53","73","40"
"01/26/2023","72","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","13","43","53","72","48"
"01/27/2023","78","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","42","59","78","44"
"01/28/2023","77","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","19","43","47","77","41"
"01/29/2023","62","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","44","33","62","32"
