"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","274","PM2.5","WEST PHOENIX","04-013-0019","AQS","50","49","142","274","49"
"01/02/2018","83","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","24","45","75","83","51"
"01/03/2018","77","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","43","77","70","58"
"01/04/2018","82","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","44","82","75","54"
"01/05/2018","73","PM10","WEST 43RD AVENUE","04-013-4009","AQS","25","44","73","71","63"
"01/06/2018","86","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","28","42","67","86","54"
"01/07/2018","87","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","20","44","62","87","49"
"01/08/2018","75","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","42","75","69","48"
"01/09/2018","195","PM10","STANFIELD","04-021-3008","AQS","23","36","195","65","39"
"01/10/2018","41","PM2.5","MESA","04-013-1003","AQS","6","38","17","41","37"
"01/11/2018","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","39","43","71","42"
"01/12/2018","82","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","42","45","82","47"
"01/13/2018","81","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","47","44","81","56"
"01/14/2018","82","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","25","44","40","82","55"
"01/15/2018","70","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","18","44","57","70","49"
"01/16/2018","69","PM10","HIDDEN VALLEY","04-021-3015","AQS","18","40","69","65","48"
"01/17/2018","79","PM10","HIDDEN VALLEY","04-021-3015","AQS","11","39","79","61","54"
"01/18/2018","65","PM10","DURANGO COMPLEX","04-013-9812","AQS","16","41","65","62","48"
"01/19/2018","59","PM2.5","WEST PHOENIX","04-013-0019","AQS","20","45","58","59","56"
"01/20/2018","77","PM10","WEST 43RD AVENUE","04-013-4009","AQS","24","40","77","61","43"
"01/21/2018","56","PM2.5","MESA","04-013-1003","AQS","7","39","19","56","35"
"01/22/2018","55","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","40","52","55","47"
"01/23/2018","64","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","40","59","64","51"
"01/24/2018","57","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","44","57","53","50"
"01/25/2018","67","PM10","HIDDEN VALLEY","04-021-3015","AQS","16","43","67","55","45"
"01/26/2018","62","PM2.5","MESA","04-013-1003","AQS","11","45","60","62","45"
"01/27/2018","69","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","44","60","69","44"
"01/28/2018","70","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","19","41","55","70","41"
"01/29/2018","70","PM10","Sacaton Air Monitoring Site","04-021-7001","AQS","10","44","70","52","50"
"01/30/2018","72","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","46","72","63","64"
