"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/23/2021","143","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","143","19","47","28"
"01/24/2021","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","112","9","33","29"
"01/25/2021","119","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","119","44","22","30"
"01/26/2021","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","133","17","30","31"
"01/27/2021","140","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","140","30","62","36"
"01/28/2021","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","154","32","58","42"
"01/29/2021","143","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","143","56","53","41"
"01/30/2021","136","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","136","24","69","41"
"01/31/2021","161","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","17","161","33","81","42"
"02/01/2021","68","PM2.5","Thirty-Third","04-013-4020","AQS","15","43","58","68","48"
"02/02/2021","72","PM2.5","Thirty-Third","04-013-4020","AQS","17","43","63","72","53"
"02/03/2021","59","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","44","57","59","39"
"02/04/2021","49","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","7","49","39","36","39"
"02/05/2021","57","PM2.5","Thirty-Third","04-013-4020","AQS","11","47","52","57","44"
"02/06/2021","68","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","45","63","68","42"
"02/07/2021","72","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","50","55","72","42"
"02/08/2021","67","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","50","67","66","51"
"02/09/2021","68","PM10","HIDDEN VALLEY","04-021-3015","AQS","19","47","68","63","47"
"02/10/2021","64","PM2.5","Thirty-Third","04-013-4020","AQS","16","44","61","64","48"
"02/11/2021","64","PM2.5","Thirty-Third","04-013-4020","AQS","13","50","58","64","43"
"02/12/2021","71","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","10","49","71","56","39"
"02/13/2021","66","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","44","66","38","32"
"02/14/2021","42","Ozone","QUEEN VALLEY","04-021-8001","AQS","5","42","41","34","35"
"02/15/2021","67","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","9","41","66","67","41"
"02/16/2021","54","PM10","WEST 43RD AVENUE","04-013-4009","AQS","8","45","54","37","41"
"02/17/2021","56","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","7","44","55","56","43"
"02/18/2021","45","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","44","45","29","44"
"02/19/2021","62","PM2.5","Thirty-Third","04-013-4020","AQS","13","47","56","62","49"
"02/20/2021","76","PM10","HIDDEN VALLEY","04-021-3015","AQS","18","50","76","63","49"
"02/21/2021","46","Ozone","JLG SUPERSITE","04-013-9997","AQS","8","46","44","43","43"
"02/22/2021","61","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","14","44","58","61","53"
"02/23/2021","76","PM10","HIDDEN VALLEY","04-021-3015","AQS","15","46","76","60","47"
"02/24/2021","73","PM10","WEST 43RD AVENUE","04-013-4009","AQS","14","48","73","61","42"
"02/25/2021","67","PM10","WEST 43RD AVENUE","04-013-4009","AQS","10","58","67","46","40"
"02/26/2021","61","PM10","STANFIELD","04-021-3008","AQS","9","54","61","55","43"
"02/27/2021","87","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","10","54","57","87","39"
"02/28/2021","55","PM10","MARICOPA 1405","04-021-3016","AQS","7","47","55","23","33"
"03/01/2021","177","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","177","59","53","48"
"03/02/2021","192","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","192","59","58","53"
"03/03/2021","158","PM10","STANFIELD","04-021-3008","AQS","10","154","158","63","41"
"03/04/2021","179","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","179","44","41","42"
"03/05/2021","164","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","164","61","63","53"
"03/06/2021","197","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","197","63","49","50"
"03/07/2021","206","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","206","62","53","42"
"03/08/2021","208","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","208","54","54","40"
"03/09/2021","192","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","192","84","52","44"
"03/10/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","195","49","43","40"
"03/11/2021","187","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","187","45","32","39"
"03/12/2021","174","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","174","11","22","39"
"03/13/2021","166","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","166","12","26","38"
"03/14/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","195","15","52","40"
"03/15/2021","190","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","190","35","43","38"
"03/16/2021","182","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","182","44","42","35"
"03/17/2021","185","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","185","52","53","56"
"03/18/2021","206","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","206","64","64","52"
"03/19/2021","221","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","221","55","61","55"
"03/20/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","195","54","52","46"
"03/21/2021","212","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","212","31","34","27"
"03/22/2021","201","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","201","32","18","34"
"03/23/2021","166","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","166","43","43","37"
"03/24/2021","164","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","164","31","35","34"
"03/25/2021","179","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","179","67","35","31"
"03/26/2021","166","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","166","36","35","29"
"03/27/2021","169","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","169","30","38","39"
"03/28/2021","192","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","192","42","52","47"
"03/29/2021","216","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","216","57","58","50"
"03/30/2021","217","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","217","54","52","37"
"03/31/2021","218","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","218","62","57","48"
"04/01/2021","205","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","205","78","62","50"
"04/02/2021","212","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","212","66","58","46"
"04/03/2021","208","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","208","65","60","43"
"04/04/2021","226","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","226","68","63","40"
"04/05/2021","219","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","219","92","63","43"
"04/06/2021","207","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","207","70","46","35"
"04/07/2021","224","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","224","60","54","44"
"04/08/2021","214","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","214","60","45","46"
"04/09/2021","216","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","216","74","61","36"
"04/10/2021","217","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","217","73","53","39"
"04/11/2021","221","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","221","87","66","40"
"04/12/2021","215","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","215","61","58","33"
"04/13/2021","207","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","207","69","71","35"
"04/14/2021","202","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","202","53","37","39"
"04/15/2021","229","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","229","52","43","32"
"04/16/2021","223","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","223","64","57","42"
"04/17/2021","209","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","209","88","68","42"
"04/18/2021","201","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","201","78","57","28"
"04/19/2021","213","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","213","57","49","48"
"04/20/2021","236","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","236","72","55","44"
"04/21/2021","214","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","214","140","57","39"
"04/22/2021","217","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","217","51","41","36"
"04/23/2021","215","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","215","49","52","34"
"04/24/2021","212","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","212","56","53","37"
"04/25/2021","201","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","201","84","66","30"
"04/26/2021","200","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","200","56","37","37"
"04/27/2021","209","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","209","30","21","29"
"04/28/2021","192","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","3","192","55","48","36"
"04/29/2021","206","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","206","49","43","47"
"04/30/2021","217","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","217","106","72","48"
"05/01/2021","87","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","87","84","71","41"
"05/02/2021","93","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","93","45","54","30"
"05/03/2021","67","Ozone","BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA","04-013-9702","AQS","5","67","51","41","33"
"05/04/2021","93","Ozone","JLG SUPERSITE","04-013-9997","AQS","6","93","62","67","51"
"05/05/2021","105","Ozone","MESA","04-013-1003","AQS","7","105","62","59","56"
"05/06/2021","126","Ozone","PINNACLE PEAK","04-013-2005","AQS","10","126","76","82","49"
"05/07/2021","100","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","100","61","72","41"
"05/08/2021","67","Ozone","MESA","04-013-1003","AQS","5","67","55","57","34"
"05/09/2021","74","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","6","74","51","74","25"
"05/10/2021","74","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","74","59","61","36"
"05/11/2021","100","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","100","71","65","53"
"05/12/2021","112","Ozone","PINNACLE PEAK","04-013-2005","AQS","11","112","82","80","49"
"05/13/2021","105","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","105","67","81","38"
"05/14/2021","90","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","90","71","69","41"
"05/15/2021","58","Ozone","JLG SUPERSITE","04-013-9997","AQS","5","58","54","46","33"
"05/16/2021","58","Ozone","JLG SUPERSITE","04-013-9997","AQS","5","58","51","56","26"
"05/17/2021","77","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","77","64","57","40"
"05/18/2021","90","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","90","61","52","38"
"05/19/2021","93","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","93","72","59","35"
"05/20/2021","64","PM10","MARICOPA 1405","04-021-3016","AQS","5","50","64","36","39"
"05/21/2021","77","PM10","WEST 43RD AVENUE","04-013-4009","AQS","5","67","77","49","41"
"05/22/2021","77","Ozone","MESA","04-013-1003","AQS","6","77","68","58","39"
"05/23/2021","105","Ozone","PINAL AIR PARK","04-021-3007","AQS","7","105","60","55","46"
"05/24/2021","129","Ozone","JLG SUPERSITE","04-013-9997","AQS","9","129","62","57","46"
"05/25/2021","116","PM10","HIDDEN VALLEY","04-021-3015","AQS","8","100","116","79","51"
"05/26/2021","101","Ozone","PINNACLE PEAK","04-013-2005","AQS","10","101","100","77","41"
"05/27/2021","112","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","112","102","76","41"
"05/28/2021","105","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","105","87","64","43"
"05/29/2021","79","PM10","STANFIELD","04-021-3008","AQS","5","71","79","61","37"
"05/30/2021","93","Ozone","JLG SUPERSITE","04-013-9997","AQS","5","93","72","58","34"
"05/31/2021","115","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","3","64","95","115","27"
"06/01/2021","84","Ozone","FALCON FIELD","04-013-1010","AQS","5","84","61","57","35"
"06/02/2021","74","PM10","STANFIELD","04-021-3008","AQS","5","74","74","52","38"
"06/03/2021","65","PM10","HIDDEN VALLEY","04-021-3015","AQS","3","64","65","63","29"
"06/04/2021","84","Ozone","FALCON FIELD","04-013-1010","AQS","3","84","76","59","42"
"06/05/2021","69","PM10","HIDDEN VALLEY","04-021-3015","AQS","3","64","69","63","34"
"06/06/2021","83","PM10","HIDDEN VALLEY","04-021-3015","AQS","5","51","83","78","25"
"06/07/2021","68","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","5","67","68","68","38"
"06/08/2021","65","PM10","HIDDEN VALLEY","04-021-3015","AQS","5","64","65","63","41"
"06/09/2021","102","PM10","HIDDEN VALLEY","04-021-3015","AQS","9","101","102","88","41"
"06/10/2021","97","Ozone","FALCON FIELD","04-013-1010","AQS","6","97","90","66","38"
"06/11/2021","151","Ozone","PINNACLE PEAK","04-013-2005","AQS","8","151","100","69","55"
"06/12/2021","136","Ozone","MESA","04-013-1003","AQS","13","136","114","108","50"
"06/13/2021","100","Ozone","NORTH PHOENIX","04-013-1004","AQS","18","100","87","68","40"
"06/14/2021","86","PM10","STANFIELD","04-021-3008","AQS","7","84","86","69","41"
"06/15/2021","203","Ozone","NORTH PHOENIX","04-013-1004","AQS","7","203","106","121","47"
"06/16/2021","119","Ozone","FALCON FIELD","04-013-1010","AQS","8","119","99","78","45"
"06/17/2021","114","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","7","93","107","114","45"
"06/18/2021","117","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","8","105","101","117","41"
"06/19/2021","110","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","97","110","106","30"
"06/20/2021","90","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","5","84","71","90","21"
"06/21/2021","92","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","6","84","67","92","31"
"06/22/2021","105","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","80","105","75","32"
"06/23/2021","74","PM10","HIDDEN VALLEY","04-021-3015","AQS","9","64","74","60","40"
"06/24/2021","105","Ozone","FALCON FIELD","04-013-1010","AQS","8","105","38","57","34"
"06/25/2021","87","Ozone","FALCON FIELD","04-013-1010","AQS","8","87","51","55","39"
"06/26/2021","108","Ozone","FALCON FIELD","04-013-1010","AQS","7","108","82","70","41"
"06/27/2021","93","Ozone","JLG SUPERSITE","04-013-9997","AQS","9","93","84","86","41"
"06/28/2021","119","PM10","HIDDEN VALLEY","04-021-3015","AQS","7","115","119","72","39"
"06/29/2021","140","Ozone","JLG SUPERSITE","04-013-9997","AQS","8","140","100","80","34"
"06/30/2021","84","Ozone","NORTH PHOENIX","04-013-1004","AQS","8","84","78","73","33"
"07/01/2021","151","Ozone","TEMPE","04-013-4005","AQS","8","151","130","114","31"
"07/02/2021","105","Ozone","MESA","04-013-1003","AQS","9","105","80","75","41"
"07/03/2021","100","PM10","HIDDEN VALLEY","04-021-3015","AQS","7","90","100","61","20"
"07/04/2021","108","Ozone","MESA","04-013-1003","AQS","7","108","45","82","20"
"07/05/2021","65","PM10","HIDDEN VALLEY","04-021-3015","AQS","7","64","65","62","20"
"07/06/2021","97","Ozone","QUEEN VALLEY","04-021-8001","AQS","8","97","65","52","32"
"07/07/2021","97","Ozone","FALCON FIELD","04-013-1010","AQS","6","97","67","60","33"
"07/08/2021","129","Ozone","SOUTH SCOTTSDALE","04-013-3003","AQS","6","129","77","61","29"
"07/09/2021","127","PM10","TEMPE","04-013-4005","AQS","6","101","127","72","32"
"07/10/2021","198","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","5","80","198","75","17"
"07/11/2021","100","Ozone","QUEEN VALLEY","04-021-8001","AQS","5","100","54","55","16"
"07/12/2021","104","PM10","BUCKEYE","04-013-4011","AQS","6","97","104","82","29"
"07/13/2021","122","Ozone","PINAL AIR PARK","04-021-3007","AQS","6","122","86","61","40"
"07/14/2021","101","Ozone","MESA","04-013-1003","AQS","5","101","72","59","22"
"07/15/2021","97","Ozone","PINNACLE PEAK","04-013-2005","AQS","7","97","36","51","38"
"07/16/2021","135","PM10","St Johns Air Monitoring Site","04-013-7003","AQS","7","74","135","54","30"
"07/17/2021","133","Ozone","MESA","04-013-1003","AQS","5","133","30","41","25"
"07/18/2021","68","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","58","68","54","15"
"07/19/2021","126","Ozone","FALCON FIELD","04-013-1010","AQS","5","126","44","41","27"
"07/20/2021","133","Ozone","NORTH PHOENIX","04-013-1004","AQS","6","133","47","44","31"
"07/21/2021","126","Ozone","DYSART","04-013-4010","AQS","6","126","71","68","29"
"07/22/2021","140","Ozone","FALCON FIELD","04-013-1010","AQS","7","140","112","64","39"
"07/23/2021","61","Ozone","PINAL AIR PARK","04-021-3007","AQS","8","61","33","52","42"
"07/24/2021","50","PM2.5","WEST PHOENIX","04-013-0019","AQS","7","44","13","50","23"
"07/25/2021","35","Ozone","GLENDALE","04-013-2001","AQS","7","35","9","32","18"
"07/26/2021","49","Ozone","NORTH PHOENIX","04-013-1004","AQS","13","49","19","42","34"
"07/27/2021","133","Ozone","PINNACLE PEAK","04-013-2005","AQS","15","133","87","54","38"
"07/28/2021","154","Ozone","FALCON FIELD","04-013-1010","AQS","7","154","60","58","42"
"07/29/2021","101","Ozone","Ak Chin Museum","04-021-7030","AQS","7","101","60","53","42"
"07/30/2021","108","Ozone","GLENDALE","04-013-2001","AQS","6","108","56","34","40"
"07/31/2021","133","Ozone","MESA","04-013-1003","AQS","6","133","24","42","35"
"08/01/2021","108","Ozone","FALCON FIELD","04-013-1010","AQS","7","108","57","51","36"
"08/02/2021","129","Ozone","CENTRAL PHOENIX","04-013-3002","AQS","6","129","36","49","31"
"08/03/2021","147","Ozone","CENTRAL PHOENIX","04-013-3002","AQS","6","147","61","58","40"
"08/04/2021","140","Ozone","DYSART","04-013-4010","AQS","6","140","72","69","50"
"08/05/2021","140","Ozone","SOUTH SCOTTSDALE","04-013-3003","AQS","8","140","51","58","40"
"08/06/2021","108","Ozone","FALCON FIELD","04-013-1010","AQS","6","108","70","62","37"
"08/07/2021","80","Ozone","FALCON FIELD","04-013-1010","AQS","5","80","58","51","27"
"08/08/2021","61","Ozone","FALCON FIELD","04-013-1010","AQS","5","61","45","55","15"
"08/09/2021","67","Ozone","CAVE CREEK","04-013-4008","AQS","5","67","45","40","32"
"08/10/2021","61","Ozone","GLENDALE","04-013-2001","AQS","5","61","15","29","29"
"08/11/2021","51","Ozone","GLENDALE","04-013-2001","AQS","5","51","20","28","27"
"08/12/2021","67","Ozone","GLENDALE","04-013-2001","AQS","5","67","19","25","32"
"08/13/2021","93","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","93","47","27","24"
"08/14/2021","93","Ozone","GLENDALE","04-013-2001","AQS","3","93","66","32","23"
"08/15/2021","84","Ozone","DYSART","04-013-4010","AQS","5","84","34","25","17"
"08/16/2021","93","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","93","74","36","31"
"08/17/2021","105","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","105","24","54","27"
"08/18/2021","41","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","6","40","31","41","25"
"08/19/2021","47","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","5","45","27","47","25"
"08/20/2021","52","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","5","45","44","52","27"
"08/21/2021","60","PM10","HIDDEN VALLEY","04-021-3015","AQS","6","49","60","56","25"
"08/22/2021","67","Ozone","DYSART","04-013-4010","AQS","5","67","46","57","33"
"08/23/2021","100","Ozone","CAVE CREEK","04-013-4008","AQS","8","100","72","69","45"
"08/24/2021","182","Ozone","Ak Chin Museum","04-021-7030","AQS","9","182","87","80","40"
"08/25/2021","136","Ozone","NORTH PHOENIX","04-013-1004","AQS","8","136","83","70","38"
"08/26/2021","119","Ozone","FALCON FIELD","04-013-1010","AQS","8","119","116","104","45"
"08/27/2021","136","Ozone","JLG SUPERSITE","04-013-9997","AQS","7","136","100","95","35"
"08/28/2021","140","Ozone","MESA","04-013-1003","AQS","5","140","133","97","32"
"08/29/2021","115","Ozone","GLENDALE","04-013-2001","AQS","3","115","86","86","24"
"08/30/2021","105","Ozone","JLG SUPERSITE","04-013-9997","AQS","5","105","66","62","41"
"08/31/2021","119","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","119","49","37","34"
"09/01/2021","224","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","224","17","33","28"
"09/02/2021","192","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","192","43","44","32"
"09/03/2021","230","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","230","53","55","39"
"09/04/2021","224","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","224","44","55","39"
"09/05/2021","234","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","234","72","60","35"
"09/06/2021","219","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","219","63","58","27"
"09/07/2021","237","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","237","42","54","38"
"09/08/2021","212","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","212","72","63","49"
"09/09/2021","228","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","228","122","82","40"
"09/10/2021","213","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","213","84","78","32"
"09/11/2021","209","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","209","74","75","35"
"09/12/2021","215","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","215","81","81","42"
"09/13/2021","221","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","221","127","94","42"
"09/14/2021","239","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","239","67","82","37"
"09/15/2021","230","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","230","78","79","41"
"09/16/2021","234","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","234","102","91","44"
"09/17/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","195","96","80","37"
"09/18/2021","208","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","208","77","54","29"
"09/19/2021","190","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","190","38","51","29"
"09/20/2021","200","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","200","87","64","41"
"09/21/2021","202","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","202","63","54","42"
"09/22/2021","221","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","221","78","64","51"
"09/23/2021","202","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","202","72","56","40"
"09/24/2021","202","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","202","73","46","31"
"09/25/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","195","34","47","28"
"09/26/2021","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","156","19","36","25"
"09/27/2021","195","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","195","41","45","42"
"09/28/2021","136","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","136","28","40","30"
"09/29/2021","159","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","159","35","35","38"
"09/30/2021","230","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","230","38","43","39"
"10/01/2021","210","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","210","38","43","48"
"10/02/2021","207","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","207","59","57","45"
"10/03/2021","206","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","206","82","71","48"
"10/04/2021","179","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","179","64","61","41"
