"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","297","PM2.5","WEST PHOENIX","04-013-0019","AQS","40","151","148","297","40"
"01/02/2021","143","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","22","143","61","103","41"
"01/03/2021","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","24","147","62","90","42"
"01/04/2021","136","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","22","136","72","80","46"
"01/05/2021","176","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","176","71","83","46"
"01/06/2021","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","156","73","90","56"
"01/07/2021","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","22","147","87","93","46"
"01/08/2021","126","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","126","75","97","52"
"01/09/2021","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","154","54","82","43"
"01/10/2021","169","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","169","57","84","45"
"01/11/2021","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","147","66","78","45"
"01/12/2021","151","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","151","63","76","50"
"01/13/2021","122","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","122","65","82","43"
"01/14/2021","105","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","105","83","89","50"
"01/15/2021","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","156","77","87","63"
"01/16/2021","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","25","133","73","84","48"
"01/17/2021","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","26","150","66","96","50"
"01/18/2021","159","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","26","159","100","75","40"
"01/19/2021","129","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","129","71","64","40"
"01/20/2021","129","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","129","62","55","35"
"01/21/2021","108","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","108","46","34","30"
"01/22/2021","136","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","136","25","51","28"
