"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/31/2022","73","PM10","WEST 43RD AVENUE","04-013-4009","AQS","20","46","73","69","47"
"11/01/2022","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","45","74","63","48"
"11/02/2022","80","PM10","WEST 43RD AVENUE","04-013-4009","AQS","17","43","80","59","34"
"11/03/2022","89","PM10","Casa Blanca Air Monitoring Site","04-021-7004","AQS","5","41","89","43","26"
"11/04/2022","56","PM2.5","WEST PHOENIX","04-013-0019","AQS","8","40","50","56","32"
"11/05/2022","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","39","70","71","40"
"11/06/2022","65","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","40","45","65","39"
"11/07/2022","77","PM10","WEST 43RD AVENUE","04-013-4009","AQS","14","45","77","64","42"
"11/08/2022","62","PM10","WEST 43RD AVENUE","04-013-4009","AQS","15","43","62","55","35"
"11/09/2022","38","PM10","WEST 43RD AVENUE","04-013-4009","AQS","11","35","38","33","26"
"11/10/2022","43","Ozone","PINNACLE PEAK","04-013-2005","AQS","13","43","32","38","31"
"11/11/2022","58","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","18","38","42","58","36"
"11/12/2022","80","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","43","49","80","36"
"11/13/2022","74","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","15","46","37","74","31"
"11/14/2022","57","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","14","43","52","57","41"
"11/15/2022","73","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","41","73","68","44"
"11/16/2022","58","PM10","WEST 43RD AVENUE","04-013-4009","AQS","8","42","58","49","42"
"11/17/2022","70","PM10","WEST 43RD AVENUE","04-013-4009","AQS","14","44","70","61","43"
"11/18/2022","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS","17","47","71","67","42"
"11/19/2022","85","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","20","43","59","85","46"
"11/20/2022","73","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","41","54","73","38"
"11/21/2022","79","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","43","79","68","45"
"11/22/2022","80","PM10","WEST 43RD AVENUE","04-013-4009","AQS","16","43","80","76","43"
"11/23/2022","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","41","62","71","46"
"11/24/2022","75","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","41","47","75","33"
"11/25/2022","87","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","15","40","45","87","35"
"11/26/2022","76","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","17","41","73","76","37"
"11/27/2022","87","PM2.5","WEST PHOENIX","04-013-0019","AQS","24","43","60","87","39"
"11/28/2022","66","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","42","66","64","43"
"11/29/2022","66","PM10","WEST 43RD AVENUE","04-013-4009","AQS","16","43","66","64","46"
"11/30/2022","73","PM10","HIDDEN VALLEY","04-021-3015","AQS","15","41","73","67","45"
"12/01/2022","76","PM10","WEST 43RD AVENUE","04-013-4009","AQS","20","38","76","74","49"
"12/02/2022","78","PM10","WEST 43RD AVENUE","04-013-4009","AQS","20","41","78","73","52"
"12/03/2022","75","PM2.5","WEST PHOENIX","04-013-0019","AQS","25","39","46","75","48"
"12/04/2022","57","PM2.5","WEST PHOENIX","04-013-0019","AQS","9","19","15","57","25"
"12/05/2022","57","PM2.5","WEST PHOENIX","04-013-0019","AQS","10","29","20","57","31"
"12/06/2022","59","PM2.5","WEST PHOENIX","04-013-0019","AQS","10","27","34","59","34"
"12/07/2022","63","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","9","36","31","63","39"
"12/08/2022","76","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","39","51","76","45"
"12/09/2022","77","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","13","38","53","77","54"
"12/10/2022","97","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","46","50","97","49"
"12/11/2022","112","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","18","43","43","112","47"
"12/12/2022","77","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","39","24","77","51"
"12/13/2022","54","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","6","36","19","54","37"
"12/14/2022","58","PM2.5","WEST PHOENIX","04-013-0019","AQS","11","34","31","58","41"
"12/15/2022","67","PM2.5","WEST PHOENIX","04-013-0019","AQS","14","31","47","67","49"
"12/16/2022","74","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","14","37","55","74","58"
"12/17/2022","89","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","15","43","44","89","46"
"12/18/2022","115","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","38","52","115","46"
"12/19/2022","106","PM2.5","WEST PHOENIX","04-013-0019","AQS","24","37","64","106","85"
"12/20/2022","88","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","37","63","88","81"
"12/21/2022","87","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","36","64","87","62"
"12/22/2022","84","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","35","63","84","61"
"12/23/2022","96","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","36","58","96","56"
"12/24/2022","156","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","20","36","64","156","61"
"12/25/2022","189","PM2.5","WEST PHOENIX","04-013-0019","AQS","27","39","87","189","57"
"12/26/2022","96","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","38","47","96","54"
"12/27/2022","90","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","36","78","90","55"
"12/28/2022","69","NO2","Thirty-Third","04-013-4020","AQS","15","35","19","55","69"
"12/29/2022","55","PM2.5","WEST PHOENIX","04-013-0019","AQS","8","31","27","55","42"
"12/30/2022","60","PM2.5","WEST PHOENIX","04-013-0019","AQS","9","31","18","60","40"
"12/31/2022","159","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","32","61","159","41"
