"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","224","PM2.5","WEST PHOENIX","04-013-0019","AQS","34","36","103","224","32"
"01/02/2020","79","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","36","43","79","34"
"01/03/2020","72","PM2.5","JLG SUPERSITE","04-013-9997","AQS","15","38","41","72","40"
"01/04/2020","89","PM2.5","WEST PHOENIX","04-013-0019","AQS","20","39","44","89","40"
"01/05/2020","87","PM2.5","WEST PHOENIX","04-013-0019","AQS","24","39","36","87","40"
"01/06/2020","69","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","40","55","69","39"
"01/07/2020","69","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","20","39","56","69","42"
"01/08/2020","63","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","41","63","61","39"
"01/09/2020","56","PM2.5","Thirty-Third","04-013-4020","AQS","13","39","49","56","28"
"01/10/2020","41","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","39","34","41","35"
"01/11/2020","69","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","14","40","44","69","36"
"01/12/2020","86","PM2.5","Thirty-Third","04-013-4020","AQS","16","43","33","86","40"
"01/13/2020","69","PM2.5","Thirty-Third","04-013-4020","AQS","16","44","56","69","45"
"01/14/2020","72","PM2.5","Thirty-Third","04-013-4020","AQS","18","43","60","72","44"
"01/15/2020","75","PM2.5","Thirty-Third","04-013-4020","AQS","17","41","64","75","43"
"01/16/2020","69","PM2.5","Thirty-Third","04-013-4020","AQS","18","40","65","69","38"
"01/17/2020","55","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","42","42","55","37"
"01/18/2020","90","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","45","44","90","45"
"01/19/2020","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","24","150","43","91","39"
"01/20/2020","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","112","58","55","40"
"01/21/2020","48","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","48","16","45","28"
"01/22/2020","60","PM2.5","JLG SUPERSITE","04-013-9997","AQS","9","36","19","60","34"
"01/23/2020","77","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","77","39","76","39"
