"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2024","261","PM2.5","WEST PHOENIX","04-013-0019","AQS","30","41","126","261","35"
"01/02/2024","80","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","39","54","80","38"
"01/03/2024","59","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","40","57","59","34"
"01/04/2024","38","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","6","38","13","32","35"
"01/05/2024","64","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","34","51","64","34"
"01/06/2024","76","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","34","47","76","37"
"01/07/2024","50","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","7","36","30","50","29"
"01/08/2024","65","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","34","30","65","40"
"01/09/2024","70","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","34","55","70","38"
"01/10/2024","75","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","14","37","52","75","38"
"01/11/2024","64","PM10","WEST 43RD AVENUE","04-013-4009","AQS","13","38","64","61","34"
"01/12/2024","101","PM10","SOUTH PHOENIX","04-013-4003","AQS","11","39","101","71","41"
"01/13/2024","90","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","42","42","90","42"
"01/14/2024","91","PM2.5","WEST PHOENIX","04-013-0019","AQS","20","44","44","91","40"
"01/15/2024","95","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","47","65","95","45"
"01/16/2024","83","PM2.5","WEST PHOENIX","04-013-0019","AQS","19","44","61","83","46"
"01/17/2024","73","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","18","43","67","73","41"
"01/18/2024","70","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","43","70","65","42"
"01/19/2024","69","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","22","38","65","69","43"
"01/20/2024","81","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","24","34","58","81","38"
"01/21/2024","62","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","18","35","19","62","30"
"01/22/2024","62","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","11","35","21","62","31"
"01/23/2024","39","Ozone","QUEEN VALLEY","04-021-8001","AQS","7","39","7","24","26"
"01/24/2024","60","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","37","20","60","29"
"01/25/2024","60","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","9","33","38","60","25"
"01/26/2024","57","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","35","41","57","33"
"01/27/2024","70","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","38","43","70","34"
"01/28/2024","53","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","41","24","53","35"
"01/29/2024","66","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","16","44","65","66","48"
"01/30/2024","72","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","16","44","66","72","42"
"01/31/2024","62","PM10","WEST 43RD AVENUE","04-013-4009","AQS","13","41","62","55","39"
"02/01/2024","74","Ozone","Lehi Air Monitoring Station","04-013-7022","AQS","9","74","61","31","28"
"02/02/2024","71","Ozone","Lehi Air Monitoring Station","04-013-7022","AQS","3","71","14","28","22"
"02/03/2024","52","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","6","44","25","52","33"
"02/04/2024","55","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","7","43","19","55","40"
"02/05/2024","57","PM2.5","WEST PHOENIX","04-013-0019","AQS","8","40","34","57","35"
"02/06/2024","52","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","41","33","52","33"
"02/07/2024","42","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","42","10","24","35"
"02/08/2024","42","Ozone","PINNACLE PEAK","04-013-2005","AQS","5","42","11","24","26"
"02/09/2024","44","Ozone","MESA","04-013-1003","AQS","10","44","19","38","40"
"02/10/2024","41","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","41","8","29","28"
"02/11/2024","53","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","6","39","14","53","37"
"02/12/2024","75","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","41","38","75","40"
"02/13/2024","59","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","44","50","59","38"
"02/14/2024","60","PM2.5","WEST PHOENIX","04-013-0019","AQS","11","49","48","60","44"
