"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","93","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","38","31","93","27"
"01/02/2019","63","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","43","26","63","37"
"01/03/2019","79","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","44","44","79","48"
"01/04/2019","77","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","44","49","77","44"
"01/05/2019","60","PM2.5","NORTH PHOENIX","04-013-1004","AQS","18","42","26","60","37"
"01/06/2019","58","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","8","44","14","58","31"
"01/07/2019","59","PM2.5","WEST PHOENIX","04-013-0019","AQS","10","40","21","59","42"
"01/08/2019","74","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","39","44","74","46"
"01/09/2019","66","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","35","55","66","40"
"01/10/2019","67","PM10","DURANGO COMPLEX","04-013-9812","AQS","17","33","67","64","41"
"01/11/2019","70","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","15","41","42","70","42"
"01/12/2019","68","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","41","28","68","37"
"01/13/2019","56","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","38","14","56","36"
"01/14/2019","57","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","36","28","57","34"
"01/15/2019","37","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","28","19","37","27"
"01/16/2019","58","PM2.5","WEST PHOENIX","04-013-0019","AQS","14","37","26","58","36"
"01/17/2019","57","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","14","35","37","57","33"
"01/18/2019","64","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","15","43","34","64","37"
"01/19/2019","58","PM2.5","JLG SUPERSITE","04-013-9997","AQS","16","42","31","58","40"
"01/20/2019","77","PM2.5","WEST PHOENIX","04-013-0019","AQS","24","41","31","77","37"
"01/21/2019","59","PM10","WEST 43RD AVENUE","04-013-4009","AQS","11","43","59","56","37"
"01/22/2019","39","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","6","39","36","38","34"
"01/23/2019","54","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","11","39","48","54","45"
"01/24/2019","58","PM2.5","WEST PHOENIX","04-013-0019","AQS","15","42","53","58","42"
"01/25/2019","67","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","43","57","67","48"
"01/26/2019","61","PM2.5","WEST PHOENIX","04-013-0019","AQS","11","47","39","61","47"
"01/27/2019","77","PM2.5","WEST PHOENIX","04-013-0019","AQS","19","45","35","77","44"
"01/28/2019","64","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","44","63","64","46"
"01/29/2019","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","17","41","74","71","50"
"01/30/2019","69","PM10","WEST 43RD AVENUE","04-013-4009","AQS","18","41","69","64","45"
"01/31/2019","62","PM10","WEST 43RD AVENUE","04-013-4009","AQS","11","43","62","60","45"
"02/01/2019","68","PM10","Senior Center Air Monitoring Station","04-013-7020","AQS","13","42","68","58","40"
"02/02/2019","50","PM2.5","Diablo","04-013-4019","AQS","14","38","47","50","36"
"02/03/2019","35","Ozone","BUCKEYE","04-013-4011","AQS","7","35","16","31","25"
"02/04/2019","36","PM2.5","GLENDALE","04-013-2001","AQS","8","36","17","36","27"
"02/05/2019","39","Ozone","FALCON FIELD","04-013-1010","AQS","6","39","16","21","33"
"02/06/2019","43","Ozone","MESA","04-013-1003","AQS","5","43","14","19","31"
"02/07/2019","44","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","8","44","28","34","42"
"02/08/2019","58","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","45","49","58","45"
"02/09/2019","74","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","44","50","74","37"
"02/10/2019","84","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","45","35","84","41"
"02/11/2019","47","Ozone","MESA","04-013-1003","AQS","10","47","36","36","46"
"02/12/2019","54","PM2.5","JLG SUPERSITE","04-013-9997","AQS","14","48","48","54","52"
"02/13/2019","79","PM10","HIDDEN VALLEY","04-021-3015","AQS","16","44","79","61","44"
"02/14/2019","55","PM2.5","Diablo","04-013-4019","AQS","9","35","31","55","39"
"02/15/2019","52","PM2.5","WEST PHOENIX","04-013-0019","AQS","14","43","14","52","27"
"02/16/2019","46","Ozone","MESA","04-013-1003","AQS","6","46","18","26","33"
"02/17/2019","51","PM2.5","WEST PHOENIX","04-013-0019","AQS","8","44","19","51","32"
"02/18/2019","44","Ozone","DYSART","04-013-4010","AQS","5","44","9","17","36"
"02/19/2019","42","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","8","42","23","28","35"
"02/20/2019","52","PM2.5","TEMPE","04-013-4005","AQS","7","43","31","52","39"
"02/21/2019","40","Ozone","PINNACLE PEAK","04-013-2005","AQS","6","40","10","27","34"
"02/22/2019","43","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","7","43","8","29","34"
"02/23/2019","52","PM2.5","WEST PHOENIX","04-013-0019","AQS","9","47","13","52","38"
"02/24/2019","61","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","50","21","61","41"
"02/25/2019","63","PM2.5","JLG SUPERSITE","04-013-9997","AQS","13","48","32","63","47"
"02/26/2019","62","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","49","44","62","50"
"02/27/2019","61","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","15","61","53","58","48"
"02/28/2019","61","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","14","61","44","57","46"
"03/01/2019","57","PM2.5","NORTH PHOENIX","04-013-1004","AQS","11","51","39","57","40"
"03/02/2019","55","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","47","40","55","35"
"03/03/2019","52","PM2.5","NORTH PHOENIX","04-013-1004","AQS","13","47","22","52","34"
"03/04/2019","67","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","10","67","47","41","45"
"03/05/2019","80","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","11","80","58","54","56"
"03/06/2019","71","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","11","71","55","37","46"
"03/07/2019","56","PM10","WEST 43RD AVENUE","04-013-4009","AQS","8","45","56","51","38"
"03/08/2019","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS","6","48","71","28","23"
"03/09/2019","58","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","8","58","43","45","38"
"03/10/2019","51","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","13","51","37","49","36"
"03/11/2019","44","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","6","44","38","31","43"
"03/12/2019","45","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","6","45","6","32","36"
"03/13/2019","50","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","6","50","34","25","33"
"03/14/2019","49","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","7","49","25","28","44"
"03/15/2019","51","PM10","WEST 43RD AVENUE","04-013-4009","AQS","8","51","51","43","42"
"03/16/2019","55","PM10","HIDDEN VALLEY","04-021-3015","AQS","7","49","55","47","43"
"03/17/2019","49","Ozone","MESA","04-013-1003","AQS","9","49","29","38","43"
"03/18/2019","67","Ozone","DYSART","04-013-4010","AQS","11","67","44","43","51"
"03/19/2019","61","Ozone","DYSART","04-013-4010","AQS","10","61","58","54","49"
"03/20/2019","57","PM10","WEST 43RD AVENUE","04-013-4009","AQS","10","54","57","37","38"
"03/21/2019","50","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","5","50","31","30","34"
"03/22/2019","67","Ozone","QUEEN VALLEY","04-021-8001","AQS","7","67","34","37","40"
"03/23/2019","71","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","8","71","44","44","41"
"03/24/2019","87","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","9","87","63","54","52"
"03/25/2019","84","Ozone","DYSART","04-013-4010","AQS","11","84","53","58","54"
"03/26/2019","84","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","9","84","58","55","47"
"03/27/2019","90","Ozone","QUEEN VALLEY","04-021-8001","AQS","13","90","75","68","60"
"03/28/2019","93","Ozone","CAVE CREEK","04-013-4008","AQS","18","93","66","71","49"
"03/29/2019","67","Ozone","QUEEN VALLEY","04-021-8001","AQS","7","67","65","61","39"
"03/30/2019","71","Ozone","WEST CHANDLER","04-013-4004","AQS","7","71","46","61","45"
"03/31/2019","77","Ozone","MESA","04-013-1003","AQS","6","77","47","52","52"
"04/01/2019","77","Ozone","SOUTH PHOENIX","04-013-4003","AQS","9","77","56","53","57"
"04/02/2019","80","Ozone","CAVE CREEK","04-013-4008","AQS","9","80","68","40","48"
"04/03/2019","57","PM10","Ak Chin Museum","04-021-7030","AQS","7","54","57","51","44"
"04/04/2019","96","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","8","51","96","55","42"
"04/05/2019","60","PM10","HIDDEN VALLEY","04-021-3015","AQS","7","51","60","53","41"
"04/06/2019","50","Ozone","QUEEN VALLEY","04-021-8001","AQS","6","50","42","36","35"
"04/07/2019","64","Ozone","MESA","04-013-1003","AQS","7","64","57","52","35"
"04/08/2019","90","Ozone","NORTH PHOENIX","04-013-1004","AQS","9","90","89","77","46"
"04/09/2019","171","PM10","Ak Chin Museum","04-021-7030","AQS","9","67","171","73","42"
"04/10/2019","208","PM10","Ak Chin Museum","04-021-7030","AQS","3","51","208","66","25"
"04/11/2019","87","PM10","Ak Chin Museum","04-021-7030","AQS","3","50","87","29","34"
"04/12/2019","71","Ozone","MESA","04-013-1003","AQS","5","71","49","52","36"
"04/13/2019","72","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","9","71","55","72","45"
"04/14/2019","84","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","11","84","66","53","47"
"04/15/2019","87","Ozone","CAVE CREEK","04-013-4008","AQS","11","87","62","70","42"
"04/16/2019","98","PM10","WEST 43RD AVENUE","04-013-4009","AQS","5","58","98","53","37"
"04/17/2019","64","Ozone","QUEEN VALLEY","04-021-8001","AQS","5","64","46","33","34"
"04/18/2019","84","Ozone","NORTH PHOENIX","04-013-1004","AQS","8","84","38","58","52"
"04/19/2019","66","PM10","HIDDEN VALLEY","04-021-3015","AQS","14","64","66","58","55"
"04/20/2019","64","Ozone","PINNACLE PEAK","04-013-2005","AQS","10","64","57","41","47"
"04/21/2019","71","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","3","71","33","63","18"
"04/22/2019","93","Ozone","GLENDALE","04-013-2001","AQS","7","93","53","44","49"
"04/23/2019","64","Ozone","FALCON FIELD","04-013-1010","AQS","7","64","60","63","44"
