"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","58","PM2.5","Diablo","04-013-4019","AQS","6","39","11","58","27"
"01/02/2017","44","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","10","44","22","39","39"
"01/03/2017","61","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","13","44","28","61","39"
"01/04/2017","68","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","43","39","68","45"
"01/05/2017","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","40","35","71","42"
"01/06/2017","44","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","10","44","22","42","40"
"01/07/2017","90","PM2.5","WEST PHOENIX","04-013-0019","AQS","23","45","47","90","41"
"01/08/2017","103","PM2.5","WEST PHOENIX","04-013-0019","AQS","30","45","48","103","42"
"01/09/2017","77","PM2.5","WEST PHOENIX","04-013-0019","AQS","28","32","49","77","44"
"01/10/2017","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","23","43","49","71","49"
"01/11/2017","63","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","18","42","50","63","45"
"01/12/2017","54","PM2.5","WEST PHOENIX","04-013-0019","AQS","11","43","40","54","41"
"01/13/2017","70","PM10","HIDDEN VALLEY","04-021-3015","AQS","11","44","70","68","44"
"01/14/2017","69","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","36","31","69","34"
"01/15/2017","52","PM2.5","NORTH PHOENIX","04-013-1004","AQS","9","33","12","52","33"
"01/16/2017","53","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","10","35","19","53","42"
"01/17/2017","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","36","42","71","38"
"01/18/2017","67","PM2.5","WEST PHOENIX","04-013-0019","AQS","17","36","44","67","41"
"01/19/2017","62","PM2.5","WEST PHOENIX","04-013-0019","AQS","13","38","30","62","41"
