"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2018","42","PM2.5","Durham Armory","37-063-0015","AQS",".","6","42"
"01/02/2018","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"01/03/2018","62","PM2.5","Durham Armory","37-063-0015","AQS",".","17","62"
"01/04/2018","52","PM2.5","Durham Armory","37-063-0015","AQS",".","10","52"
"01/05/2018","52","PM2.5","Durham Armory","37-063-0015","AQS",".","17","52"
"01/06/2018","42","PM2.5","Durham Armory","37-063-0015","AQS",".","14","42"
"01/07/2018","52","PM2.5","Durham Armory","37-063-0015","AQS",".","11","52"
"01/08/2018","52","PM2.5","Durham Armory","37-063-0015","AQS",".","15","52"
"01/09/2018","56","PM2.5","Durham Armory","37-063-0015","AQS",".","17","56"
"01/10/2018","51","PM2.5","Durham Armory","37-063-0015","AQS",".","14","51"
"01/11/2018","57","PM2.5","Durham Armory","37-063-0015","AQS",".","17","57"
"01/12/2018","7","PM2.5","Durham Armory","37-063-0015","AQS",".","6","7"
"01/13/2018","26","PM2.5","Durham Armory","37-063-0015","AQS",".","5","26"
"01/14/2018","34","PM2.5","Durham Armory","37-063-0015","AQS",".","6","34"
"01/15/2018","54","PM2.5","Durham Armory","37-063-0015","AQS",".","14","54"
"01/16/2018","65","PM2.5","Durham Armory","37-063-0015","AQS",".","21","65"
"01/17/2018","63","PM2.5","Durham Armory","37-063-0015","AQS",".","14","63"
"01/18/2018","54","PM2.5","Durham Armory","37-063-0015","AQS",".","10","54"
"01/19/2018","62","PM2.5","Durham Armory","37-063-0015","AQS",".","16","62"
"01/20/2018","58","PM2.5","Durham Armory","37-063-0015","AQS",".","17","58"
"01/21/2018","54","PM2.5","Durham Armory","37-063-0015","AQS",".","14","54"
"01/22/2018","64","PM2.5","Durham Armory","37-063-0015","AQS",".","20","64"
"01/23/2018","27","PM2.5","Durham Armory","37-063-0015","AQS",".","8","27"
"01/24/2018","34","PM2.5","Durham Armory","37-063-0015","AQS",".","9","34"
"01/25/2018","53","PM2.5","Durham Armory","37-063-0015","AQS",".","10","53"
"01/26/2018","59","PM2.5","Durham Armory","37-063-0015","AQS",".","17","59"
"01/27/2018","53","PM2.5","Durham Armory","37-063-0015","AQS",".","14","53"
"01/28/2018","33","PM2.5","Durham Armory","37-063-0015","AQS",".","6","33"
"01/29/2018","21","PM2.5","Durham Armory","37-063-0015","AQS",".","4","21"
"01/30/2018","39","PM2.5","Durham Armory","37-063-0015","AQS",".","6","39"
"01/31/2018","44","PM2.5","Durham Armory","37-063-0015","AQS",".","8","44"
"02/01/2018","52","PM2.5","Durham Armory","37-063-0015","AQS",".","11","52"
"02/02/2018","27","PM2.5","Durham Armory","37-063-0015","AQS",".","6","27"
"02/03/2018","38","PM2.5","Durham Armory","37-063-0015","AQS",".","6","38"
"02/04/2018","42","PM2.5","Durham Armory","37-063-0015","AQS",".","7","42"
"02/05/2018","46","PM2.5","Durham Armory","37-063-0015","AQS",".","8","46"
"02/06/2018","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"02/07/2018","37","PM2.5","Durham Armory","37-063-0015","AQS",".","9","37"
"02/08/2018","50","PM2.5","Durham Armory","37-063-0015","AQS",".","9","50"
"02/09/2018","58","PM2.5","Durham Armory","37-063-0015","AQS",".","15","58"
"02/10/2018","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"02/11/2018","21","PM2.5","Durham Armory","37-063-0015","AQS",".","9","21"
"02/12/2018","18","PM2.5","Durham Armory","37-063-0015","AQS",".","4","18"
"02/13/2018","46","PM2.5","Durham Armory","37-063-0015","AQS",".","9","46"
"02/14/2018","56","PM2.5","Durham Armory","37-063-0015","AQS",".","15","56"
"02/15/2018","36","PM2.5","Durham Armory","37-063-0015","AQS",".","9","36"
"02/16/2018","41","PM2.5","Durham Armory","37-063-0015","AQS",".","7","41"
"02/17/2018","36","PM2.5","Durham Armory","37-063-0015","AQS",".","6","36"
"02/18/2018","21","PM2.5","Durham Armory","37-063-0015","AQS",".","4","21"
"02/19/2018","43","PM2.5","Durham Armory","37-063-0015","AQS",".","7","43"
"02/20/2018","55","PM2.5","Durham Armory","37-063-0015","AQS",".","16","55"
"02/21/2018","33","PM2.5","Durham Armory","37-063-0015","AQS",".","12","33"
"02/22/2018","40","PM2.5","Durham Armory","37-063-0015","AQS",".","14","40"
