"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2022","29","PM2.5","Durham Armory","37-063-0015","AQS",".","11","29"
"01/02/2022","16","PM2.5","Durham Armory","37-063-0015","AQS",".","8","16"
"01/03/2022","13","PM2.5","Durham Armory","37-063-0015","AQS",".","6","13"
"01/04/2022","28","PM2.5","Durham Armory","37-063-0015","AQS",".","9","28"
"01/05/2022","47","PM2.5","Durham Armory","37-063-0015","AQS",".","14","47"
"01/06/2022","39","PM2.5","Durham Armory","37-063-0015","AQS",".","15","39"
"01/07/2022","20","PM2.5","Durham Armory","37-063-0015","AQS",".","7","20"
"01/08/2022","37","PM2.5","Durham Armory","37-063-0015","AQS",".","11","37"
"01/09/2022","37","PM2.5","Durham Armory","37-063-0015","AQS",".","11","37"
"01/10/2022","19","PM2.5","Durham Armory","37-063-0015","AQS",".","6","19"
"01/11/2022","33","PM2.5","Durham Armory","37-063-0015","AQS",".","11","33"
"01/12/2022","48","PM2.5","Durham Armory","37-063-0015","AQS",".","14","48"
"01/13/2022","56","PM2.5","Durham Armory","37-063-0015","AQS",".","23","56"
"01/14/2022","47","PM2.5","Durham Armory","37-063-0015","AQS",".","14","47"
"01/15/2022","37","PM2.5","Durham Armory","37-063-0015","AQS",".","11","37"
"01/16/2022","26","PM2.5","Durham Armory","37-063-0015","AQS",".","7","26"
"01/17/2022","26","PM2.5","Durham Armory","37-063-0015","AQS",".","8","26"
"01/18/2022","32","PM2.5","Durham Armory","37-063-0015","AQS",".","13","32"
"01/19/2022","55","PM2.5","Durham Armory","37-063-0015","AQS",".","19","55"
"01/20/2022","51","PM2.5","Durham Armory","37-063-0015","AQS",".","16","51"
"01/21/2022","25","PM2.5","Durham Armory","37-063-0015","AQS",".","8","25"
"01/22/2022","37","PM2.5","Durham Armory","37-063-0015","AQS",".","10","37"
"01/23/2022","56","PM2.5","Durham Armory","37-063-0015","AQS",".","18","56"
"01/24/2022","51","PM2.5","Durham Armory","37-063-0015","AQS",".","19","51"
"01/25/2022","55","PM2.5","Durham Armory","37-063-0015","AQS",".","26","55"
"01/26/2022","45","PM2.5","Durham Armory","37-063-0015","AQS",".","17","45"
"01/27/2022","55","PM2.5","Durham Armory","37-063-0015","AQS",".","21","55"
"01/28/2022","62","PM2.5","Durham Armory","37-063-0015","AQS",".","25","62"
"01/29/2022","35","PM2.5","Durham Armory","37-063-0015","AQS",".","8","35"
"01/30/2022","38","PM2.5","Durham Armory","37-063-0015","AQS",".","13","38"
"01/31/2022","54","PM2.5","Durham Armory","37-063-0015","AQS",".","20","54"
"02/01/2022","54","PM2.5","Durham Armory","37-063-0015","AQS",".","21","54"
"02/02/2022","53","PM2.5","Durham Armory","37-063-0015","AQS",".","21","53"
"02/03/2022","53","PM2.5","Durham Armory","37-063-0015","AQS",".","17","53"
"02/04/2022","17","PM2.5","Durham Armory","37-063-0015","AQS",".","9","17"
"02/05/2022","21","PM2.5","Durham Armory","37-063-0015","AQS",".","8","21"
"02/06/2022","42","PM2.5","Durham Armory","37-063-0015","AQS",".","11","42"
"02/07/2022","34","PM2.5","Durham Armory","37-063-0015","AQS",".","9","34"
