"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2020","22","PM2.5","Durham Armory","37-063-0015","AQS",".","5","22"
"01/02/2020","46","PM2.5","Durham Armory","37-063-0015","AQS",".","10","46"
"01/03/2020","47","PM2.5","Durham Armory","37-063-0015","AQS",".","10","47"
"01/04/2020","12","PM2.5","Durham Armory","37-063-0015","AQS",".","4","12"
"01/05/2020","15","PM2.5","Durham Armory","37-063-0015","AQS",".","4","15"
"01/06/2020","26","PM2.5","Durham Armory","37-063-0015","AQS",".","7","26"
"01/07/2020","39","PM2.5","Durham Armory","37-063-0015","AQS",".","10","39"
"01/08/2020","21","PM2.5","Durham Armory","37-063-0015","AQS",".","8","21"
"01/09/2020","31","PM2.5","Durham Armory","37-063-0015","AQS",".","10","31"
"01/10/2020","49","PM2.5","Durham Armory","37-063-0015","AQS",".","19","49"
"01/11/2020","27","PM2.5","Durham Armory","37-063-0015","AQS",".","14","27"
"01/12/2020","12","PM2.5","Durham Armory","37-063-0015","AQS",".","5","12"
"01/13/2020","21","PM2.5","Durham Armory","37-063-0015","AQS",".","6","21"
"01/14/2020","7","PM2.5","Durham Armory","37-063-0015","AQS",".","4","7"
"01/15/2020","16","PM2.5","Durham Armory","37-063-0015","AQS",".","9","16"
"01/16/2020","20","PM2.5","Durham Armory","37-063-0015","AQS",".","5","20"
"01/17/2020","18","PM2.5","Durham Armory","37-063-0015","AQS",".","5","18"
"01/18/2020","21","PM2.5","Durham Armory","37-063-0015","AQS",".","5","21"
"01/19/2020","21","PM2.5","Durham Armory","37-063-0015","AQS",".","5","21"
"01/20/2020","29","PM2.5","Durham Armory","37-063-0015","AQS",".","6","29"
"01/21/2020","20","PM2.5","Durham Armory","37-063-0015","AQS",".","6","20"
"01/22/2020","34","PM2.5","Durham Armory","37-063-0015","AQS",".","10","34"
"01/23/2020","47","PM2.5","Durham Armory","37-063-0015","AQS",".","14","47"
"01/24/2020","30","PM2.5","Durham Armory","37-063-0015","AQS",".","13","30"
"01/25/2020","32","PM2.5","Durham Armory","37-063-0015","AQS",".","2","32"
"01/26/2020","18","PM2.5","Durham Armory","37-063-0015","AQS",".","5","18"
"01/27/2020","41","PM2.5","Durham Armory","37-063-0015","AQS",".","9","41"
"01/28/2020","29","PM2.5","Durham Armory","37-063-0015","AQS",".","6","29"
"01/29/2020","31","PM2.5","Durham Armory","37-063-0015","AQS",".","6","31"
"01/30/2020","27","PM2.5","Durham Armory","37-063-0015","AQS",".","7","27"
"01/31/2020","50","PM2.5","Durham Armory","37-063-0015","AQS",".","11","50"
"02/01/2020","32","PM2.5","Durham Armory","37-063-0015","AQS",".","6","32"
"02/02/2020","16","PM2.5","Durham Armory","37-063-0015","AQS",".","4","16"
"02/03/2020","32","PM2.5","Durham Armory","37-063-0015","AQS",".","9","32"
"02/04/2020","47","PM2.5","Durham Armory","37-063-0015","AQS",".","11","47"
"02/05/2020","46","PM2.5","Durham Armory","37-063-0015","AQS",".","11","46"
"02/06/2020","27","PM2.5","Durham Armory","37-063-0015","AQS",".","6","27"
"02/07/2020","3","PM10","Durham Armory","37-063-0015","AQS",".","3","2"
"02/08/2020","13","PM2.5","Durham Armory","37-063-0015","AQS",".","3","13"
"02/09/2020","27","PM2.5","Durham Armory","37-063-0015","AQS",".","6","27"
"02/10/2020","33","PM2.5","Durham Armory","37-063-0015","AQS",".","8","33"
"02/11/2020","29","PM2.5","Durham Armory","37-063-0015","AQS",".","9","29"
"02/12/2020","17","PM2.5","Durham Armory","37-063-0015","AQS",".","6","17"
"02/13/2020","92","PM2.5","Durham Armory","37-063-0015","AQS",".","7","92"
"02/14/2020","7","PM2.5","Durham Armory","37-063-0015","AQS",".","3","7"
"02/15/2020","29","PM2.5","Durham Armory","37-063-0015","AQS",".","6","29"
"02/16/2020","53","PM2.5","Durham Armory","37-063-0015","AQS",".","11","53"
"02/17/2020","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"02/18/2020","53","PM2.5","Durham Armory","37-063-0015","AQS",".","13","53"
"02/19/2020","26","PM2.5","Durham Armory","37-063-0015","AQS",".","6","26"
"02/20/2020","28","PM2.5","Durham Armory","37-063-0015","AQS",".","7","28"
"02/21/2020","31","PM2.5","Durham Armory","37-063-0015","AQS",".","6","31"
"02/22/2020","42","PM2.5","Durham Armory","37-063-0015","AQS",".","9","42"
"02/23/2020","46","PM2.5","Durham Armory","37-063-0015","AQS",".","11","46"
"02/24/2020","45","PM2.5","Durham Armory","37-063-0015","AQS",".","11","45"
"02/25/2020","32","PM2.5","Durham Armory","37-063-0015","AQS",".","6","32"
"02/26/2020","25","PM2.5","Durham Armory","37-063-0015","AQS",".","6","25"
"02/27/2020","9","PM2.5","Durham Armory","37-063-0015","AQS",".","3","9"
"02/28/2020","17","PM2.5","Durham Armory","37-063-0015","AQS",".","5","17"
"02/29/2020","18","PM2.5","Durham Armory","37-063-0015","AQS",".","5","18"
"03/01/2020","43","Ozone","Bushy Fork","37-145-0003","AQS","43","7","36"
"03/02/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","45","14","54"
"03/03/2020","33","Ozone","Bushy Fork","37-145-0003","AQS","33","8","29"
"03/04/2020","40","Ozone","Bushy Fork","37-145-0003","AQS","40","7","19"
"03/05/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","33","11","36"
"03/06/2020","36","Ozone","Bushy Fork","37-145-0003","AQS","36","6","22"
"03/07/2020","38","Ozone","Bushy Fork","37-145-0003","AQS","38","4","16"
"03/08/2020","40","Ozone","Bushy Fork","37-145-0003","AQS","40","6","24"
"03/09/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","42","13","48"
"03/10/2020","33","Ozone","Durham Armory","37-063-0015","AQS","33","10","31"
"03/11/2020","34","Ozone","Durham Armory","37-063-0015","AQS","34","10","31"
"03/12/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","34","15","52"
"03/13/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","38","16","52"
"03/14/2020","42","Ozone","Durham Armory","37-063-0015","AQS","42","6","17"
"03/15/2020","36","Ozone","Durham Armory","37-063-0015","AQS","36","9","34"
"03/16/2020","36","Ozone","Bushy Fork","37-145-0003","AQS","36",".","24"
"03/17/2020","30","Ozone","Durham Armory","37-063-0015","AQS","30",".","."
"03/18/2020","32","Ozone","Durham Armory","37-063-0015","AQS","32",".","."
"03/19/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","30",".","52"
"03/20/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","38","21","53"
"03/21/2020","40","PM2.5","Durham Armory","37-063-0015","AQS","30","6","40"
"03/22/2020","49","PM2.5","Durham Armory","37-063-0015","AQS","36","8","49"
"03/23/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","32","5","52"
"03/24/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","28","6","52"
"03/25/2020","31","Ozone","Durham Armory","37-063-0015","AQS","31","3","27"
"03/26/2020","33","Ozone","Durham Armory","37-063-0015","AQS","33","4","31"
"03/27/2020","62","PM2.5","Durham Armory","37-063-0015","AQS","35","17","62"
"03/28/2020","79","PM2.5","Durham Armory","37-063-0015","AQS","40","27","79"
"03/29/2020","70","PM2.5","Durham Armory","37-063-0015","AQS","44","27","70"
"03/30/2020","46","Ozone","Durham Armory","37-063-0015","AQS","46","7","36"
"03/31/2020","41","PM2.5","Durham Armory","37-063-0015","AQS","33","7","41"
"04/01/2020","35","Ozone","Durham Armory","37-063-0015","AQS","35","3","31"
"04/02/2020","42","Ozone","Durham Armory","37-063-0015","AQS","42","5","34"
"04/03/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","47","8","47"
"04/04/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","6","42"
"04/05/2020","51","PM2.5","Durham Armory","37-063-0015","AQS","41","8","51"
"04/06/2020","57","PM2.5","Durham Armory","37-063-0015","AQS","44","13","57"
"04/07/2020","60","PM2.5","Durham Armory","37-063-0015","AQS","44","13","60"
"04/08/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","47","14","55"
"04/09/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","10","42"
"04/10/2020","42","Ozone","Durham Armory","37-063-0015","AQS","42","7","37"
"04/11/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","46","8","54"
"04/12/2020","56","PM2.5","Durham Armory","37-063-0015","AQS","43","13","56"
"04/13/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","41","14","48"
"04/14/2020","41","Ozone","Durham Armory","37-063-0015","AQS","41","7","39"
"04/15/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","40","6","47"
"04/16/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","46","9","53"
"04/17/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","49","13","55"
"04/18/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","40","20","47"
"04/19/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","37","7","52"
"04/20/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","40","8","53"
"04/21/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","44","7","47"
"04/22/2020","45","Ozone","Durham Armory","37-063-0015","AQS","45","9","41"
"04/23/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","34","8","53"
"04/24/2020","40","PM2.5","Durham Armory","37-063-0015","AQS","38","6","40"
"04/25/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","26","6","46"
"04/26/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","36","7","48"
"04/27/2020","41","Ozone","Durham Armory","37-063-0015","AQS","41","3","28"
"04/28/2020","59","PM2.5","Durham Armory","37-063-0015","AQS","45","10","59"
"04/29/2020","57","PM2.5","Durham Armory","37-063-0015","AQS","44","14","57"
"04/30/2020","43","Ozone","Durham Armory","37-063-0015","AQS","43","8","42"
"05/01/2020","31","Ozone","Durham Armory","37-063-0015","AQS","31","5","24"
"05/02/2020","43","Ozone","Durham Armory","37-063-0015","AQS","43","4","36"
"05/03/2020","57","PM2.5","Durham Armory","37-063-0015","AQS","50","9","57"
"05/04/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","47","10","53"
"05/05/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","31","6","46"
"05/06/2020","37","PM2.5","Durham Armory","37-063-0015","AQS","36","5","37"
"05/07/2020","45","Ozone","Durham Armory","37-063-0015","AQS","45","5","44"
"05/08/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","41","6","52"
"05/09/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","40","7","48"
"05/10/2020","51","PM2.5","Durham Armory","37-063-0015","AQS","43","6","51"
"05/11/2020","40","PM2.5","Durham Armory","37-063-0015","AQS","38","4","40"
"05/12/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37",".","19"
"05/13/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37",".","."
"05/14/2020","43","Ozone","Durham Armory","37-063-0015","AQS","43",".","."
"05/15/2020","41","Ozone","Durham Armory","37-063-0015","AQS","41",".","39"
"05/16/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44",".","."
"05/17/2020","36","Ozone","Durham Armory","37-063-0015","AQS","36",".","."
"05/18/2020","23","Ozone","Durham Armory","37-063-0015","AQS","23",".","22"
"05/19/2020","31","Ozone","Durham Armory","37-063-0015","AQS","31","1","22"
"05/20/2020","29","Ozone","Durham Armory","37-063-0015","AQS","29","0","12"
"05/21/2020","30","Ozone","Durham Armory","37-063-0015","AQS","30","2","14"
"05/22/2020","32","Ozone","Durham Armory","37-063-0015","AQS","32","4","21"
"05/23/2020","35","Ozone","Durham Armory","37-063-0015","AQS","35","6","31"
"05/24/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","33","8","47"
"05/25/2020","28","PM2.5","Durham Armory","37-063-0015","AQS","23","6","28"
"05/26/2020","27","Ozone","Bushy Fork","37-145-0003","AQS","27","6","26"
"05/27/2020","22","PM2.5","Durham Armory","37-063-0015","AQS","18","5","22"
"05/28/2020","22","Ozone","Durham Armory","37-063-0015","AQS","22","3","16"
"05/29/2020","27","PM2.5","Durham Armory","37-063-0015","AQS","24","7","27"
"05/30/2020","39","Ozone","Durham Armory","37-063-0015","AQS","39","8","29"
"05/31/2020","34","Ozone","Bushy Fork","37-145-0003","AQS","34","8","27"
"06/01/2020","39","Ozone","Bushy Fork","37-145-0003","AQS","39","8","23"
"06/02/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","44","12","46"
"06/03/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","46","16","53"
"06/04/2020","61","PM2.5","Durham Armory","37-063-0015","AQS","45","19","61"
"06/05/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","31","9","52"
"06/06/2020","46","Ozone","Durham Armory","37-063-0015","AQS","46","8","40"
"06/07/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","47","11","52"
"06/08/2020","56","PM2.5","Durham Armory","37-063-0015","AQS","48","17","56"
"06/09/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","34","11","46"
"06/10/2020","37","PM2.5","Durham Armory","37-063-0015","AQS","29","8","37"
"06/11/2020","30","PM2.5","Durham Armory","37-063-0015","AQS","29","7","30"
"06/12/2020","42","Ozone","Bushy Fork","37-145-0003","AQS","42","9","31"
"06/13/2020","40","Ozone","Bushy Fork","37-145-0003","AQS","40","10","38"
"06/14/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","8","33"
"06/15/2020","31","Ozone","Durham Armory","37-063-0015","AQS","31","4","21"
"06/16/2020","26","Ozone","Durham Armory","37-063-0015","AQS","26","2","21"
"06/17/2020","22","Ozone","Durham Armory","37-063-0015","AQS","22","2","14"
"06/18/2020","31","Ozone","Durham Armory","37-063-0015","AQS","31","6","28"
"06/19/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37","7","27"
"06/20/2020","34","Ozone","Durham Armory","37-063-0015","AQS","34","5","29"
"06/21/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","9","43"
"06/22/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","44","11","55"
"06/23/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","27","6","36"
"06/24/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","6","26"
"06/25/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","38","9","48"
"06/26/2020","54","Ozone","Durham Armory","37-063-0015","AQS","54","8","40"
"06/27/2020","62","PM2.5","Durham Armory","37-063-0015","AQS","47","23","62"
"06/28/2020","97","PM2.5","Durham Armory","37-063-0015","AQS","32","54","97"
"06/29/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","39","16","54"
"06/30/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","42","14","54"
"07/01/2020","44","Ozone","Durham Armory","37-063-0015","AQS","44","8","35"
"07/02/2020","43","PM2.5","Durham Armory","37-063-0015","AQS","41","9","43"
"07/03/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","35","10","48"
"07/04/2020","60","PM2.5","Durham Armory","37-063-0015","AQS","50","15","60"
"07/05/2020","77","PM2.5","Durham Armory","37-063-0015","AQS","34","22","77"
"07/06/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","32","13","54"
"07/07/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","31","12","48"
"07/08/2020","31","PM2.5","Durham Armory","37-063-0015","AQS","22","6","31"
"07/09/2020","25","Ozone","Bushy Fork","37-145-0003","AQS","25","6","12"
"07/10/2020","32","Ozone","Durham Armory","37-063-0015","AQS","32","6","23"
"07/11/2020","42","Ozone","Durham Armory","37-063-0015","AQS","42","8","36"
"07/12/2020","44","Ozone","Bushy Fork","37-145-0003","AQS","44","8","32"
"07/13/2020","49","Ozone","Bushy Fork","37-145-0003","AQS","49","8","34"
"07/14/2020","48","Ozone","Durham Armory","37-063-0015","AQS","48","9","47"
"07/15/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","48","14","55"
"07/16/2020","67","Ozone","Durham Armory","37-063-0015","AQS","67","14","52"
"07/17/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","37","11","53"
"07/18/2020","43","Ozone","Bushy Fork","37-145-0003","AQS","43","9","33"
"07/19/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","39","10","46"
"07/20/2020","56","PM2.5","Durham Armory","37-063-0015","AQS","41","13","56"
"07/21/2020","50","PM2.5","Durham Armory","37-063-0015","AQS","44","11","50"
"07/22/2020","44","Ozone","Bushy Fork","37-145-0003","AQS","44","9","34"
"07/23/2020","38","PM2.5","Durham Armory","37-063-0015","AQS","34","8","38"
"07/24/2020","33","Ozone","Durham Armory","37-063-0015","AQS","33","5","22"
"07/25/2020","43","Ozone","Bushy Fork","37-145-0003","AQS","43","6","37"
"07/26/2020","41","PM2.5","Durham Armory","37-063-0015","AQS","39","7","41"
"07/27/2020","43","Ozone","Durham Armory","37-063-0015","AQS","43","7","32"
"07/28/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37","7","32"
"07/29/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37","5","28"
"07/30/2020","34","PM2.5","Durham Armory","37-063-0015","AQS","31","8","34"
"07/31/2020","39","PM2.5","Durham Armory","37-063-0015","AQS","35","10","39"
"08/01/2020","44","PM2.5","Durham Armory","37-063-0015","AQS","34",".","44"
"08/02/2020","28","Ozone","Durham Armory","37-063-0015","AQS","28",".","."
"08/04/2020","35","Ozone","Bushy Fork","37-145-0003","AQS","35",".","."
"08/05/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","34","12","47"
"08/06/2020","27","Ozone","Bushy Fork","37-145-0003","AQS","27","6","25"
"08/07/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","31","7","36"
"08/08/2020","40","Ozone","Durham Armory","37-063-0015","AQS","40","7","36"
"08/09/2020","38","Ozone","Durham Armory","37-063-0015","AQS","38","8","31"
"08/10/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","49","12","52"
"08/11/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","39","9","47"
"08/12/2020","45","PM2.5","Durham Armory","37-063-0015","AQS","41","12","45"
"08/13/2020","33","PM2.5","Durham Armory","37-063-0015","AQS","33","7","33"
"08/14/2020","31","Ozone","Bushy Fork","37-145-0003","AQS","31","4","16"
"08/15/2020","24","Ozone","Durham Armory","37-063-0015","AQS","24","3","8"
"08/16/2020","24","Ozone","Bushy Fork","37-145-0003","AQS","24","2","17"
"08/17/2020","31","Ozone","Bushy Fork","37-145-0003","AQS","31","7","16"
"08/18/2020","38","Ozone","Bushy Fork","37-145-0003","AQS","38","12","33"
"08/19/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","44","12","52"
"08/20/2020","38","PM2.5","Durham Armory","37-063-0015","AQS","31","9","38"
"08/21/2020","29","Ozone","Durham Armory","37-063-0015","AQS","29","6","28"
"08/22/2020","30","PM2.5","Durham Armory","37-063-0015","AQS","27","6","30"
"08/23/2020","41","PM2.5","Durham Armory","37-063-0015","AQS","26","10","41"
"08/24/2020","47","PM2.5","Durham Armory","37-063-0015","AQS","21","13","47"
"08/25/2020","43","Ozone","Durham Armory","37-063-0015","AQS","43","8","42"
"08/26/2020","45","Ozone","Bushy Fork","37-145-0003","AQS","45","11","38"
"08/27/2020","51","PM2.5","Durham Armory","37-063-0015","AQS","43","15","51"
"08/28/2020","54","PM2.5","Durham Armory","37-063-0015","AQS","31","19","54"
"08/29/2020","26","PM2.5","Durham Armory","37-063-0015","AQS","22","7","26"
"08/30/2020","40","Ozone","Durham Armory","37-063-0015","AQS","40","8","31"
"08/31/2020","43","PM2.5","Durham Armory","37-063-0015","AQS","34","10","43"
"09/01/2020","29","PM2.5","Durham Armory","37-063-0015","AQS","28","8","29"
"09/02/2020","50","PM2.5","Durham Armory","37-063-0015","AQS","36","13","50"
"09/03/2020","63","PM2.5","Durham Armory","37-063-0015","AQS","36","24","63"
"09/04/2020","46","PM2.5","Durham Armory","37-063-0015","AQS","39","14","46"
"09/05/2020","38","Ozone","Bushy Fork","37-145-0003","AQS","38","9","31"
"09/06/2020","42","PM2.5","Durham Armory","37-063-0015","AQS","39","7","42"
"09/07/2020","42","Ozone","Bushy Fork","37-145-0003","AQS","42","8","29"
"09/08/2020","30","Ozone","Durham Armory","37-063-0015","AQS","30","8","25"
"09/09/2020","27","PM2.5","Durham Armory","37-063-0015","AQS","19","4","27"
"09/10/2020","19","Ozone","Bushy Fork","37-145-0003","AQS","19","1","7"
"09/11/2020","26","Ozone","Bushy Fork","37-145-0003","AQS","26","4","14"
"09/12/2020","37","PM2.5","Durham Armory","37-063-0015","AQS","28","7","37"
"09/13/2020","38","Ozone","Bushy Fork","37-145-0003","AQS","38","9","25"
"09/14/2020","31","PM2.5","Durham Armory","37-063-0015","AQS","28","8","31"
"09/15/2020","30","Ozone","Bushy Fork","37-145-0003","AQS","30","7","23"
"09/16/2020","31","Ozone","Bushy Fork","37-145-0003","AQS","31","10","24"
"09/17/2020","28","Ozone","Bushy Fork","37-145-0003","AQS","28",".","16"
"09/18/2020","39","PM2.5","Durham Armory","37-063-0015","AQS","32",".","39"
"09/19/2020","30","Ozone","Bushy Fork","37-145-0003","AQS","30","7","26"
"09/20/2020","37","Ozone","Bushy Fork","37-145-0003","AQS","37","5","19"
"09/21/2020","32","Ozone","Bushy Fork","37-145-0003","AQS","32","6","29"
"09/22/2020","37","Ozone","Bushy Fork","37-145-0003","AQS","37","6","28"
"09/23/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","33","6","36"
"09/24/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","25","11","55"
"09/25/2020","44","PM2.5","Durham Armory","37-063-0015","AQS","33","5","44"
"09/26/2020","25","Ozone","Bushy Fork","37-145-0003","AQS","25","5","20"
"09/27/2020","30","Ozone","Bushy Fork","37-145-0003","AQS","30","7","28"
"09/28/2020","37","PM2.5","Durham Armory","37-063-0015","AQS","28","7","37"
"09/29/2020","25","Ozone","Bushy Fork","37-145-0003","AQS","25","6","23"
"09/30/2020","32","Ozone","Bushy Fork","37-145-0003","AQS","32","6","26"
"10/01/2020","33","Ozone","Bushy Fork","37-145-0003","AQS","33","11","."
"10/02/2020","34","Ozone","Bushy Fork","37-145-0003","AQS","34","9","."
"10/03/2020","30","Ozone","Bushy Fork","37-145-0003","AQS","30","6","24"
"10/04/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","30","6","36"
"10/05/2020","36","PM2.5","Durham Armory","37-063-0015","AQS","35","9","36"
"10/06/2020","42","PM2.5","Durham Armory","37-063-0015","AQS","41","10","42"
"10/07/2020","56","PM2.5","Durham Armory","37-063-0015","AQS","44","16","56"
"10/08/2020","55","PM2.5","Durham Armory","37-063-0015","AQS","44","19","55"
"10/09/2020","43","PM2.5","Durham Armory","37-063-0015","AQS","31","16","43"
"10/10/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","25","9","53"
"10/11/2020","29","Ozone","Bushy Fork","37-145-0003","AQS","29","5","26"
"10/12/2020","19","Ozone","Bushy Fork","37-145-0003","AQS","19","3","12"
"10/13/2020","29","Ozone","Bushy Fork","37-145-0003","AQS","29","7","13"
"10/14/2020","37","Ozone","Durham Armory","37-063-0015","AQS","37","8","27"
"10/15/2020","52","PM2.5","Durham Armory","37-063-0015","AQS","34","12","52"
"10/16/2020","31","Ozone","Bushy Fork","37-145-0003","AQS","31",".","28"
"10/17/2020","35","PM2.5","Durham Armory","37-063-0015","AQS","34","8","35"
"10/18/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","32","10","48"
"10/19/2020","35","PM2.5","Durham Armory","37-063-0015","AQS","29","10","35"
"10/20/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","33","13","48"
"10/21/2020","48","PM2.5","Durham Armory","37-063-0015","AQS","28","13","48"
"10/22/2020","44","PM2.5","Durham Armory","37-063-0015","AQS","29","15","44"
"10/23/2020","42","PM2.5","Durham Armory","37-063-0015","AQS","31","14","42"
"10/24/2020","51","PM2.5","Durham Armory","37-063-0015","AQS","32","11","51"
"10/25/2020","33","PM2.5","Durham Armory","37-063-0015","AQS","13","6","33"
"10/26/2020","18","Ozone","Durham Armory","37-063-0015","AQS","18","4","16"
"10/27/2020","43","PM2.5","Durham Armory","37-063-0015","AQS","28","10","43"
"10/28/2020","53","PM2.5","Durham Armory","37-063-0015","AQS","24","11","53"
"10/29/2020","29","PM2.5","Durham Armory","37-063-0015","AQS","25","8","29"
"10/30/2020","32","Ozone","Bushy Fork","37-145-0003","AQS","32","5","18"
"10/31/2020","34","PM2.5","Durham Armory","37-063-0015","AQS","26","6","34"
"11/01/2020","37","PM2.5","Durham Armory","37-063-0015","AQS",".","6","37"
"11/02/2020","17","PM2.5","Durham Armory","37-063-0015","AQS",".","6","17"
"11/03/2020","43","PM2.5","Durham Armory","37-063-0015","AQS",".","10","43"
"11/04/2020","56","PM2.5","Durham Armory","37-063-0015","AQS",".","16","56"
"11/05/2020","56","PM2.5","Durham Armory","37-063-0015","AQS",".","13","56"
"11/06/2020","55","PM2.5","Durham Armory","37-063-0015","AQS",".","16","55"
"11/07/2020","58","PM2.5","Durham Armory","37-063-0015","AQS",".","15","58"
"11/08/2020","50","PM2.5","Durham Armory","37-063-0015","AQS",".","10","50"
"11/09/2020","34","PM2.5","Durham Armory","37-063-0015","AQS",".","10","34"
"11/10/2020","41","PM2.5","Durham Armory","37-063-0015","AQS",".","13","41"
"11/11/2020","23","PM2.5","Durham Armory","37-063-0015","AQS",".","6","23"
"11/12/2020","7","PM2.5","Durham Armory","37-063-0015","AQS",".","3","7"
"11/13/2020","31","PM2.5","Durham Armory","37-063-0015","AQS",".","7","31"
"11/14/2020","57","PM2.5","Durham Armory","37-063-0015","AQS",".","13","57"
"11/15/2020","58","PM2.5","Durham Armory","37-063-0015","AQS",".","15","58"
"11/16/2020","15","PM2.5","Durham Armory","37-063-0015","AQS",".","6","15"
"11/17/2020","26","PM2.5","Durham Armory","37-063-0015","AQS",".","9","26"
"11/18/2020","28","PM2.5","Durham Armory","37-063-0015","AQS",".","8","28"
"11/19/2020","53","PM2.5","Durham Armory","37-063-0015","AQS",".","11","53"
"11/20/2020","52","PM2.5","Durham Armory","37-063-0015","AQS",".","14","52"
"11/21/2020","68","PM2.5","Durham Armory","37-063-0015","AQS",".","21","68"
"11/22/2020","72","PM2.5","Durham Armory","37-063-0015","AQS",".","21","72"
"11/23/2020","21","PM2.5","Durham Armory","37-063-0015","AQS",".","4","21"
"11/24/2020","46","PM2.5","Durham Armory","37-063-0015","AQS",".","10","46"
"11/25/2020","55","PM2.5","Durham Armory","37-063-0015","AQS",".","15","55"
"11/26/2020","39","PM2.5","Durham Armory","37-063-0015","AQS",".","9","39"
"11/27/2020","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"11/28/2020","60","PM2.5","Durham Armory","37-063-0015","AQS",".","17","60"
"11/29/2020","57","PM2.5","Durham Armory","37-063-0015","AQS",".","13","57"
