"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2019","47","PM2.5","Durham Armory","37-063-0015","AQS",".","11","47"
"01/02/2019","51","PM2.5","Durham Armory","37-063-0015","AQS",".","9","51"
"01/03/2019","52","PM2.5","Durham Armory","37-063-0015","AQS",".","11","52"
"01/04/2019","49","PM2.5","Durham Armory","37-063-0015","AQS",".","8","49"
"01/05/2019","33","PM2.5","Durham Armory","37-063-0015","AQS",".","6","33"
"01/06/2019","47","PM2.5","Durham Armory","37-063-0015","AQS",".","9","47"
"01/07/2019","53","PM2.5","Durham Armory","37-063-0015","AQS",".","11","53"
"01/08/2019","53","PM2.5","Durham Armory","37-063-0015","AQS",".","13","53"
"01/09/2019","33","PM2.5","Durham Armory","37-063-0015","AQS",".","8","33"
"01/10/2019","38","PM2.5","Durham Armory","37-063-0015","AQS",".","8","38"
"01/11/2019","54","PM2.5","Durham Armory","37-063-0015","AQS",".","13","54"
"01/12/2019","59","PM2.5","Durham Armory","37-063-0015","AQS",".","15","59"
"01/13/2019","37","PM2.5","Durham Armory","37-063-0015","AQS",".","5","37"
"01/14/2019","54","PM2.5","Durham Armory","37-063-0015","AQS",".","10","54"
"01/15/2019","62","PM2.5","Durham Armory","37-063-0015","AQS",".","16","62"
"01/16/2019","59","PM2.5","Durham Armory","37-063-0015","AQS",".","14","59"
"01/17/2019","55","PM2.5","Durham Armory","37-063-0015","AQS",".","13","55"
"01/18/2019","59","PM2.5","Durham Armory","37-063-0015","AQS",".","14","59"
"01/19/2019","57","PM2.5","Durham Armory","37-063-0015","AQS",".","11","57"
"01/20/2019","43","PM2.5","Durham Armory","37-063-0015","AQS",".","8","43"
"01/21/2019","42","PM2.5","Durham Armory","37-063-0015","AQS",".","8","42"
"01/22/2019","52","PM2.5","Durham Armory","37-063-0015","AQS",".","11","52"
"01/23/2019","52","PM2.5","Durham Armory","37-063-0015","AQS",".","12","52"
"01/24/2019","26","PM2.5","Durham Armory","37-063-0015","AQS",".","6","26"
"01/25/2019","52","PM2.5","Durham Armory","37-063-0015","AQS",".","9","52"
"01/26/2019","60","PM2.5","Durham Armory","37-063-0015","AQS",".","14","60"
"01/27/2019","62","PM2.5","Durham Armory","37-063-0015","AQS",".","17","62"
"01/28/2019","52","PM2.5","Durham Armory","37-063-0015","AQS",".","10","52"
"01/29/2019","56","PM2.5","Durham Armory","37-063-0015","AQS",".","13","56"
"01/30/2019","49","PM2.5","Durham Armory","37-063-0015","AQS",".","8","49"
"01/31/2019","53","PM2.5","Durham Armory","37-063-0015","AQS",".","11","53"
"02/01/2019","61","PM2.5","Durham Armory","37-063-0015","AQS",".","17","61"
"02/02/2019","64","PM2.5","Durham Armory","37-063-0015","AQS",".","19","64"
"02/03/2019","73","PM2.5","Durham Armory","37-063-0015","AQS",".","23","73"
"02/04/2019","70","PM2.5","Durham Armory","37-063-0015","AQS",".","21","70"
"02/05/2019","58","PM2.5","Durham Armory","37-063-0015","AQS",".","19","58"
"02/06/2019","63","PM2.5","Durham Armory","37-063-0015","AQS",".","19","63"
"02/07/2019","60","PM2.5","Durham Armory","37-063-0015","AQS",".","16","60"
"02/08/2019","56","PM2.5","Durham Armory","37-063-0015","AQS",".","14","56"
"02/09/2019","42","PM2.5","Durham Armory","37-063-0015","AQS",".","7","42"
"02/10/2019","54","PM2.5","Durham Armory","37-063-0015","AQS",".","12","54"
"02/11/2019","56","PM2.5","Durham Armory","37-063-0015","AQS",".","10","56"
"02/12/2019","31","PM2.5","Durham Armory","37-063-0015","AQS",".","5","31"
"02/13/2019","36","PM2.5","Durham Armory","37-063-0015","AQS",".","6","36"
"02/14/2019","39","PM2.5","Durham Armory","37-063-0015","AQS",".","9","39"
"02/15/2019","55","PM2.5","Durham Armory","37-063-0015","AQS",".","14","55"
"02/16/2019","53","PM2.5","Durham Armory","37-063-0015","AQS",".","10","53"
"02/17/2019","55","PM2.5","Durham Armory","37-063-0015","AQS",".","11","55"
"02/18/2019","43","PM2.5","Durham Armory","37-063-0015","AQS",".","6","43"
"02/19/2019","49","PM2.5","Durham Armory","37-063-0015","AQS",".","9","49"
"02/20/2019","39","PM2.5","Durham Armory","37-063-0015","AQS",".","6","39"
"02/21/2019","37","PM2.5","Durham Armory","37-063-0015","AQS",".","7","37"
"02/22/2019","51","PM2.5","Durham Armory","37-063-0015","AQS",".","8","51"
"02/23/2019","39","PM2.5","Durham Armory","37-063-0015","AQS",".","6","39"
"02/24/2019","36","PM2.5","Durham Armory","37-063-0015","AQS",".","6","36"
"02/25/2019","29","PM2.5","Durham Armory","37-063-0015","AQS",".","6","29"
"02/26/2019","54","PM2.5","Durham Armory","37-063-0015","AQS",".","13","54"
"02/27/2019","61","PM2.5","Durham Armory","37-063-0015","AQS",".","15","61"
"02/28/2019","63","PM2.5","Durham Armory","37-063-0015","AQS",".","17","63"
"03/01/2019","55","PM2.5","Durham Armory","37-063-0015","AQS","31","11","55"
"03/02/2019","36","PM2.5","Durham Armory","37-063-0015","AQS","34","6","36"
"03/03/2019","53","PM2.5","Durham Armory","37-063-0015","AQS","31","9","53"
"03/04/2019","53","PM2.5","Durham Armory","37-063-0015","AQS","43","8","53"
"03/05/2019","48","PM2.5","Durham Armory","37-063-0015","AQS","40","7","48"
"03/06/2019","49","PM2.5","Durham Armory","37-063-0015","AQS","43","9","49"
"03/07/2019","58","PM2.5","Durham Armory","37-063-0015","AQS","43","15","58"
"03/08/2019","59","PM2.5","Durham Armory","37-063-0015","AQS","37","15","59"
"03/09/2019","62","PM2.5","Durham Armory","37-063-0015","AQS","28","18","62"
"03/10/2019","59","PM2.5","Durham Armory","37-063-0015","AQS","32","14","59"
"03/11/2019","43","Ozone","Bushy Fork","37-145-0003","AQS","43","17","37"
"03/12/2019","47","Ozone","Bushy Fork","37-145-0003","AQS","47","8","34"
"03/13/2019","54","PM2.5","Durham Armory","37-063-0015","AQS","51","14","54"
"03/14/2019","60","PM2.5","Durham Armory","37-063-0015","AQS","50","19","60"
"03/15/2019","54","PM2.5","Durham Armory","37-063-0015","AQS","40","16","54"
"03/16/2019","44","Ozone","Bushy Fork","37-145-0003","AQS","44","8","33"
"03/17/2019","47","PM2.5","Durham Armory","37-063-0015","AQS","45","8","47"
"03/18/2019","54","PM2.5","Durham Armory","37-063-0015","AQS","47","13","54"
"03/19/2019","53","PM2.5","Durham Armory","37-063-0015","AQS","48","12","53"
"03/20/2019","55","PM2.5","Durham Armory","37-063-0015","AQS","48","13","55"
"03/21/2019","49","PM2.5","Durham Armory","37-063-0015","AQS","49","7","49"
"03/22/2019","46","Ozone","Bushy Fork","37-145-0003","AQS","46",".","23"
"03/23/2019","48","Ozone","Bushy Fork","37-145-0003","AQS","48",".","."
"03/24/2019","71","Ozone","Bushy Fork","37-145-0003","AQS","71",".","."
"03/25/2019","53","PM2.5","Durham Armory","37-063-0015","AQS","48",".","53"
"03/26/2019","44","Ozone","Bushy Fork","37-145-0003","AQS","44",".","."
"03/27/2019","49","Ozone","Bushy Fork","37-145-0003","AQS","49","6","22"
"03/28/2019","54","Ozone","Bushy Fork","37-145-0003","AQS","54","10","32"
"03/29/2019","77","Ozone","Bushy Fork","37-145-0003","AQS","77","17","57"
"03/30/2019","64","Ozone","Bushy Fork","37-145-0003","AQS","64","20","60"
"03/31/2019","44","Ozone","Bushy Fork","37-145-0003","AQS","44","8","26"
"04/01/2019","45","Ozone","Bushy Fork","37-145-0003","AQS","45","6","16"
"04/02/2019","38","PM2.5","Durham Armory","37-063-0015","AQS","37","8","38"
"04/03/2019","64","Ozone","Bushy Fork","37-145-0003","AQS","64","11","48"
"04/04/2019","80","Ozone","Bushy Fork","37-145-0003","AQS","80","19","55"
"04/05/2019","46","Ozone","Bushy Fork","37-145-0003","AQS","46","9","45"
"04/06/2019","45","Ozone","Bushy Fork","37-145-0003","AQS","45","8","29"
"04/07/2019","54","PM2.5","Durham Armory","37-063-0015","AQS","36","17","54"
"04/08/2019","38","Ozone","Bushy Fork","37-145-0003","AQS","38","25","37"
"04/09/2019","43","Ozone","Bushy Fork","37-145-0003","AQS","43","12","28"
"04/10/2019","61","Ozone","Durham Armory","37-063-0015","AQS","61","19","33"
"04/11/2019","71","Ozone","Bushy Fork","37-145-0003","AQS","71","19","35"
"04/12/2019","41","Ozone","Bushy Fork","37-145-0003","AQS","41","10","27"
"04/13/2019","32","Ozone","Bushy Fork","37-145-0003","AQS","32","6","16"
"04/14/2019","34","Ozone","Bushy Fork","37-145-0003","AQS","34","11","21"
"04/15/2019","48","Ozone","Bushy Fork","37-145-0003","AQS","48","11","19"
"04/16/2019","50","Ozone","Bushy Fork","37-145-0003","AQS","50","6","20"
"04/17/2019","77","Ozone","Bushy Fork","37-145-0003","AQS","77","12","46"
"04/18/2019","52","PM2.5","Durham Armory","37-063-0015","AQS","49","19","52"
"04/19/2019","38","Ozone","Bushy Fork","37-145-0003","AQS","38","9","11"
"04/20/2019","36","Ozone","Bushy Fork","37-145-0003","AQS","36","8","18"
"04/21/2019","31","Ozone","Bushy Fork","37-145-0003","AQS","31","6","16"
"04/22/2019","41","Ozone","Bushy Fork","37-145-0003","AQS","41","7","21"
"04/23/2019","49","Ozone","Bushy Fork","37-145-0003","AQS","49","10","36"
"04/24/2019","61","Ozone","Durham Armory","37-063-0015","AQS","61","19","58"
"04/25/2019","59","PM2.5","Durham Armory","37-063-0015","AQS","48","20","59"
"04/26/2019","45","PM2.5","Durham Armory","37-063-0015","AQS","45","18","45"
"04/27/2019","51","Ozone","Durham Armory","37-063-0015","AQS","51","10","23"
"04/28/2019","53","PM2.5","Durham Armory","37-063-0015","AQS","51","15","53"
"04/29/2019","51","PM2.5","Durham Armory","37-063-0015","AQS","35","17","51"
"04/30/2019","54","PM2.5","Durham Armory","37-063-0015","AQS","51","19","54"
"05/01/2019","59","PM2.5","Durham Armory","37-063-0015","AQS","40","20","59"
"05/02/2019","42","Ozone","Durham Armory","37-063-0015","AQS","42","13","37"
"05/03/2019","36","PM2.5","Durham Armory","37-063-0015","AQS","33","11","36"
"05/04/2019","41","Ozone","Bushy Fork","37-145-0003","AQS","41","8","27"
"05/05/2019","28","Ozone","Bushy Fork","37-145-0003","AQS","28","7","14"
"05/06/2019","39","Ozone","Bushy Fork","37-145-0003","AQS","39","7","13"
"05/07/2019","48","Ozone","Durham Armory","37-063-0015","AQS","48","11","34"
"05/08/2019","43","Ozone","Durham Armory","37-063-0015","AQS","43","12","37"
"05/09/2019","45","Ozone","Durham Armory","37-063-0015","AQS","45","10","14"
"05/10/2019","38","Ozone","Bushy Fork","37-145-0003","AQS","38","9","21"
"05/11/2019","32","Ozone","Durham Armory","37-063-0015","AQS","32","9","24"
"05/12/2019","31","Ozone","Bushy Fork","37-145-0003","AQS","31","6","15"
"05/13/2019","32","Ozone","Bushy Fork","37-145-0003","AQS","32","6","16"
"05/14/2019","43","Ozone","Bushy Fork","37-145-0003","AQS","43","6","19"
"05/15/2019","47","Ozone","Bushy Fork","37-145-0003","AQS","47","7","27"
"05/16/2019","58","Ozone","Durham Armory","37-063-0015","AQS","58","10","40"
"05/17/2019","64","Ozone","Bushy Fork","37-145-0003","AQS","64","16","55"
"05/18/2019","61","Ozone","Durham Armory","37-063-0015","AQS","61","19","55"
"05/19/2019","59","PM2.5","Durham Armory","37-063-0015","AQS","49","19","59"
"05/20/2019","46","Ozone","Bushy Fork","37-145-0003","AQS","46","13","37"
"05/21/2019","47","Ozone","Durham Armory","37-063-0015","AQS","47","12","37"
"05/22/2019","49","Ozone","Bushy Fork","37-145-0003","AQS","49","14","37"
"05/23/2019","52","PM2.5","Durham Armory","37-063-0015","AQS","44","18","52"
"05/24/2019","57","PM2.5","Durham Armory","37-063-0015","AQS","41","19","57"
"05/25/2019","80","Ozone","Durham Armory","37-063-0015","AQS","80","18","54"
"05/26/2019","56","PM2.5","Durham Armory","37-063-0015","AQS","46","15","56"
"05/27/2019","45","Ozone","Durham Armory","37-063-0015","AQS","45","10","41"
"05/28/2019","77","Ozone","Bushy Fork","37-145-0003","AQS","77","17","55"
"05/29/2019","55","PM2.5","Durham Armory","37-063-0015","AQS","44","18","55"
"05/30/2019","71","Ozone","Bushy Fork","37-145-0003","AQS","71","19","56"
