"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2017","54","PM2.5","Durham Armory","37-063-0015","AQS",".","7","54"
"01/02/2017","29","PM2.5","Durham Armory","37-063-0015","AQS",".","3","29"
"01/03/2017","25","PM2.5","Durham Armory","37-063-0015","AQS",".","4","25"
"01/04/2017","38","PM2.5","Durham Armory","37-063-0015","AQS",".","8","38"
"01/05/2017","39","PM2.5","Durham Armory","37-063-0015","AQS",".","10","39"
"01/06/2017","49","PM2.5","Durham Armory","37-063-0015","AQS",".","8","49"
"01/07/2017","54","PM2.5","Durham Armory","37-063-0015","AQS",".","8","54"
"01/08/2017","59","PM2.5","Durham Armory","37-063-0015","AQS",".","11","59"
"01/09/2017","62","PM2.5","Durham Armory","37-063-0015","AQS",".","14","62"
"01/10/2017","65","PM2.5","Durham Armory","37-063-0015","AQS",".","18","65"
"01/11/2017","61","PM2.5","Durham Armory","37-063-0015","AQS",".","15","61"
"01/12/2017","41","PM2.5","Durham Armory","37-063-0015","AQS",".","11","41"
"01/13/2017","52","PM2.5","Durham Armory","37-063-0015","AQS",".","15","52"
"01/14/2017","51","PM2.5","Durham Armory","37-063-0015","AQS",".","14","51"
"01/15/2017","56","PM2.5","Durham Armory","37-063-0015","AQS",".","14","56"
"01/16/2017","47","PM2.5","Durham Armory","37-063-0015","AQS",".","13","47"
"01/17/2017","62","PM2.5","Durham Armory","37-063-0015","AQS",".","17","62"
"01/18/2017","48","PM2.5","Durham Armory","37-063-0015","AQS",".","14","48"
"01/19/2017","45","PM2.5","Durham Armory","37-063-0015","AQS",".",".","45"
"01/20/2017","61","PM2.5","Durham Armory","37-063-0015","AQS",".",".","61"
"01/21/2017","47","PM2.5","Durham Armory","37-063-0015","AQS",".","6","47"
"01/22/2017","22","PM2.5","Durham Armory","37-063-0015","AQS",".","5","22"
"01/23/2017","23","PM2.5","Durham Armory","37-063-0015","AQS",".","5","23"
"01/24/2017","23","PM2.5","Durham Armory","37-063-0015","AQS",".","6","23"
"01/25/2017","48","PM2.5","Durham Armory","37-063-0015","AQS",".","9","48"
"01/26/2017","41","PM2.5","Durham Armory","37-063-0015","AQS",".","8","41"
"01/27/2017","37","PM2.5","Durham Armory","37-063-0015","AQS",".","5","37"
"01/28/2017","45","PM2.5","Durham Armory","37-063-0015","AQS",".","6","45"
"01/29/2017","44","PM2.5","Durham Armory","37-063-0015","AQS",".","7","44"
"01/30/2017","46","PM2.5","Durham Armory","37-063-0015","AQS",".","9","46"
