"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"03/28/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","36","7","52"
"03/29/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","4","19"
"03/30/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","49","10","52"
"03/31/2021","34","Ozone","Bushy Fork","37-145-0003","AQS","34","6","32"
"04/01/2021","40","Ozone","Durham Armory","37-063-0015","AQS","40","7","24"
"04/02/2021","43","Ozone","Bushy Fork","37-145-0003","AQS","43","4","24"
"04/03/2021","44","Ozone","Durham Armory","37-063-0015","AQS","44","6","38"
"04/04/2021","58","Ozone","Bushy Fork","37-145-0003","AQS","58","12","51"
"04/05/2021","71","Ozone","Bushy Fork","37-145-0003","AQS","71",".","."
"04/06/2021","71","Ozone","Bushy Fork","37-145-0003","AQS","71",".","."
"04/07/2021","77","Ozone","Bushy Fork","37-145-0003","AQS","77",".","."
"04/08/2021","90","Ozone","Durham Armory","37-063-0015","AQS","90","43","83"
"04/09/2021","68","PM2.5","Durham Armory","37-063-0015","AQS","46","24","68"
"04/10/2021","46","PM2.5","Durham Armory","37-063-0015","AQS","42","13","46"
"04/11/2021","48","Ozone","Bushy Fork","37-145-0003","AQS","48","13","39"
"04/12/2021","50","Ozone","Durham Armory","37-063-0015","AQS","50","10","33"
"04/13/2021","48","Ozone","Bushy Fork","37-145-0003","AQS","48","8","26"
"04/14/2021","60","PM2.5","Durham Armory","37-063-0015","AQS","58","18","60"
"04/15/2021","43","PM2.5","Durham Armory","37-063-0015","AQS","42","13","43"
"04/16/2021","43","Ozone","Durham Armory","37-063-0015","AQS","43","9","32"
"04/17/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","9","34"
"04/18/2021","48","PM2.5","Durham Armory","37-063-0015","AQS","44","11","48"
"04/19/2021","43","Ozone","Bushy Fork","37-145-0003","AQS","43","11","42"
"04/20/2021","54","PM2.5","Durham Armory","37-063-0015","AQS","51","17","54"
"04/21/2021","44","Ozone","Durham Armory","37-063-0015","AQS","44","15","38"
"04/22/2021","45","Ozone","Bushy Fork","37-145-0003","AQS","45","9","28"
"04/23/2021","58","Ozone","Bushy Fork","37-145-0003","AQS","58","15","46"
"04/24/2021","57","PM2.5","Durham Armory","37-063-0015","AQS","34","17","57"
"04/25/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","9","27"
"04/26/2021","50","Ozone","Durham Armory","37-063-0015","AQS","50","12","38"
"04/27/2021","61","Ozone","Bushy Fork","37-145-0003","AQS","61","19","56"
"04/28/2021","54","Ozone","Bushy Fork","37-145-0003","AQS","54","16","52"
"04/29/2021","57","PM2.5","Durham Armory","37-063-0015","AQS","47","26","57"
"04/30/2021","49","Ozone","Bushy Fork","37-145-0003","AQS","49","16","26"
"05/01/2021","47","Ozone","Bushy Fork","37-145-0003","AQS","47","10","22"
"05/02/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","50","19","52"
"05/03/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","35","18","52"
"05/04/2021","47","PM2.5","Durham Armory","37-063-0015","AQS","33","14","47"
"05/05/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","10","23"
"05/06/2021","37","Ozone","Durham Armory","37-063-0015","AQS","37","9","27"
"05/07/2021","39","PM2.5","Durham Armory","37-063-0015","AQS","36","10","39"
"05/08/2021","45","Ozone","Bushy Fork","37-145-0003","AQS","45","12","32"
"05/09/2021","51","Ozone","Durham Armory","37-063-0015","AQS","51","12","37"
"05/10/2021","43","PM2.5","Durham Armory","37-063-0015","AQS","42","13","43"
"05/11/2021","43","Ozone","Durham Armory","37-063-0015","AQS","43","11","31"
