"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2023","32","PM2.5","Durham Armory","37-063-0015","AQS",".","8","32"
"01/02/2023","46","PM2.5","Durham Armory","37-063-0015","AQS",".","9","46"
"01/03/2023","46","PM2.5","Durham Armory","37-063-0015","AQS",".","10","46"
"01/04/2023","14","PM2.5","Durham Armory","37-063-0015","AQS",".","4","14"
"01/05/2023","17","PM2.5","Durham Armory","37-063-0015","AQS",".","7","17"
"01/06/2023","18","PM2.5","Durham Armory","37-063-0015","AQS",".","7","18"
"01/07/2023","31","PM2.5","Durham Armory","37-063-0015","AQS",".","9","31"
"01/08/2023","52","PM2.5","Durham Armory","37-063-0015","AQS",".","10","52"
"01/09/2023","30","PM2.5","Durham Armory","37-063-0015","AQS",".","7","30"
"01/10/2023","47","PM2.5","Durham Armory","37-063-0015","AQS",".","11","47"
"01/11/2023","54","PM2.5","Durham Armory","37-063-0015","AQS",".","14","54"
"01/12/2023","51","PM2.5","Durham Armory","37-063-0015","AQS",".","12","51"
"01/13/2023","10","PM2.5","Durham Armory","37-063-0015","AQS",".","2","10"
"01/14/2023","6","PM2.5","Durham Armory","37-063-0015","AQS",".","2","6"
"01/15/2023","21","PM2.5","Durham Armory","37-063-0015","AQS",".","5","21"
"01/16/2023","42","PM2.5","Durham Armory","37-063-0015","AQS",".","10","42"
"01/17/2023","53","PM2.5","Durham Armory","37-063-0015","AQS",".","12","53"
"01/18/2023","42","PM2.5","Durham Armory","37-063-0015","AQS",".","12","42"
"01/19/2023","51","PM2.5","Durham Armory","37-063-0015","AQS",".","12","51"
"01/20/2023","10","PM2.5","Durham Armory","37-063-0015","AQS",".","6","10"
"01/21/2023","22","PM2.5","Durham Armory","37-063-0015","AQS",".","6","22"
"01/22/2023","41","PM2.5","Durham Armory","37-063-0015","AQS",".","6","41"
"01/23/2023","16","PM2.5","Durham Armory","37-063-0015","AQS",".","3","16"
"01/24/2023","27","PM2.5","Durham Armory","37-063-0015","AQS",".","9","27"
"01/25/2023","42","PM2.5","Durham Armory","37-063-0015","AQS",".","8","42"
